Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,2,2,1200,858.9,9.39,11.15,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,2,2,1200,1103.0,11.15,12.62,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,6.623,83.73,0.0,55.25,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.72,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,4.72,4.0,0.252,83.73,0.0,82.64,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,4.0,4.0,0.523,83.73,0.0,81.48,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,4.0,4.0,0.604,83.73,0.0,81.13,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,4.0,5.65,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,5.65,4.0,1.145,83.73,0.0,78.81,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,6.26,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,6.26,5.03,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,5.03,5.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,5.46,5.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,5.95,4.83,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,4.83,4.0,0.805,83.73,0.0,80.27,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,4.0,4.0,0.878,83.73,0.0,79.96,0,0.0,
