Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.0,4.0,1.181,83.73,0.0,78.65,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,4.0,4.0,1.433,83.73,0.0,77.57,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,1,1,750,677.2,4.0,4.0,0.139,83.73,0.0,83.13,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,4.0,4.0,8.112,83.73,0.0,48.85,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,4.0,4.0,0.41,83.73,0.0,81.97,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,4.0,4.0,1.608,83.73,0.0,76.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,4.0,4.0,0.075,83.73,0.0,83.41,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,4.0,4.0,4.983,83.73,0.0,62.31,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,0.105,83.73,0.0,83.28,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,1,1,750,1001.1,4.47,6.94,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,1,1,750,505.3,6.94,4.24,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.24,5.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,5.46,7.44,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,7.44,9.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,3.706,83.73,0.0,67.79,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,5.11,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,2,1,1,750,941.8,5.11,5.53,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,3,1,1,750,463.6,5.53,4.0,0.818,83.73,0.0,80.21,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.82,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,5,2,2,1200,355.7,4.82,4.0,3.911,90.34,6.61,66.91,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,6,1,1,750,952.1,4.0,6.2,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,7,2,2,1200,1023.8,6.2,8.13,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,8,2,2,1200,960.6,8.13,7.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,9,2,2,1200,955.9,7.75,8.06,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,10,2,2,1200,880.2,8.06,8.34,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,11,2,2,1200,1063.0,8.34,8.58,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,12,1,1,750,934.7,8.58,7.88,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,13,1,1,750,994.6,7.88,8.68,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,14,1,1,750,1000.9,8.68,9.59,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,15,2,2,1200,858.9,9.59,9.74,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,16,1,1,750,1103.0,9.74,7.59,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,17,2,2,1200,966.8,7.59,7.69,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,18,2,2,1200,810.4,7.69,7.11,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,19,1,1,750,971.9,7.11,6.7,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,20,1,1,750,704.0,6.7,4.0,2.13,83.73,0.0,74.57,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,21,1,1,750,1036.7,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,22,1,1,750,1087.5,4.47,6.42,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,23,1,1,750,1111.3,6.42,7.85,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,24,1,1,750,1138.6,7.85,7.73,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,25,2,2,1200,1073.9,7.73,8.42,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,26,2,2,1200,1065.4,8.42,9.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,27,2,2,1200,984.5,9.75,11.8,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,28,2,2,1200,824.4,11.8,9.73,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,29,2,2,1200,1037.6,9.73,11.17,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,30,2,2,1200,1055.3,11.17,11.77,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,31,2,2,1200,1126.0,11.77,12.74,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,32,2,2,1200,892.4,12.74,7.39,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,33,2,2,1200,941.8,7.39,5.63,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,34,1,1,750,463.6,5.63,4.0,2.456,83.73,6.61,66.56,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,35,1,1,750,1052.0,4.0,5.34,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,36,1,1,750,355.7,5.34,4.0,9.815,83.73,0.0,41.53,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,37,1,1,750,952.1,4.0,4.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,38,1,1,750,1023.8,4.32,4.67,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,39,1,1,750,960.6,4.67,5.52,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,40,1,1,750,955.9,5.52,4.0,0.581,83.73,0.0,81.23,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,41,1,1,750,880.2,4.0,5.21,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,42,1,1,750,1063.0,5.21,5.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,43,2,2,1200,934.7,5.95,7.33,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,44,1,1,750,994.6,7.33,7.93,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,45,2,2,1200,1000.9,7.93,9.39,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,46,2,2,1200,858.9,9.39,11.15,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,47,2,2,1200,1103.0,11.15,12.62,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,4.12,83.73,0.0,66.02,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,1,1,1,750,1465.1,4.0,6.24,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,2,2,2,1200,835.4,6.24,4.0,0.215,90.34,6.61,82.81,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,3,1,1,750,338.2,4.0,4.0,4.702,83.73,6.61,56.9,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,0.18,83.73,0.0,82.96,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,5,1,1,750,852.7,4.0,5.72,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,6,2,2,1200,608.4,5.72,5.22,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,7,2,2,1200,376.5,5.22,4.0,0.407,90.34,0.0,88.59,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,8,1,1,750,1048.2,4.0,5.49,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,9,1,1,750,869.5,5.49,6.96,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,10,1,1,750,861.3,6.96,8.58,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,11,1,1,750,846.7,8.58,9.63,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,12,1,1,750,598.8,9.63,6.3,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,13,1,1,750,608.7,6.3,5.06,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,14,1,1,750,797.1,5.06,5.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,15,1,1,750,1016.9,5.18,7.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,16,1,1,750,1018.2,7.14,4.49,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,17,1,1,750,1221.8,4.49,6.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,18,1,1,750,1244.0,6.56,8.69,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,19,1,1,750,967.8,8.69,8.26,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,20,1,1,750,1259.1,8.26,7.33,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,21,1,1,750,1059.4,7.33,7.87,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,22,2,2,1200,1076.0,7.87,8.55,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,23,2,2,1200,1209.8,8.55,8.78,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,24,2,2,1200,901.4,8.78,4.46,0.0,90.34,0.0,90.34,0,0.0,
