Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,4,0,0,300,725.7,6.54,7.09,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,5,1,1,750,824.8,7.09,7.7,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,6,0,0,300,252.3,7.7,8.86,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,7,1,1,750,761.1,8.86,10.97,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,8,1,1,750,502.5,10.97,7.42,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,9,2,2,1200,618.3,7.42,8.32,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,1,10,1,1,750,583.5,8.32,9.44,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,1,11,1,1,750,488.0,9.44,9.1,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,12,1,1,750,778.7,9.1,9.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,13,1,1,750,653.2,9.67,10.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,14,1,1,750,587.3,10.67,12.45,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,15,1,1,750,472.8,12.45,11.76,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,16,0,0,300,790.7,11.76,13.49,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,17,1,1,750,576.4,13.49,13.02,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,18,1,1,750,793.4,13.02,12.83,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,19,1,1,750,446.8,12.83,11.53,0.0,83.73,0.0,83.73,0,0.0
