Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,29,2,2,1200,1037.6,11.74,13.39,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,30,3,3,1850,1055.3,13.39,14.58,0.0,95.49,5.15,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,0
Proposed,bigbuckbunny,0,31,2,2,1200,1126.0,14.58,16.69,0.0,90.34,5.15,85.19,0,0.0,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
Proposed,bigbuckbunny,0,32,2,2,1200,892.4,16.69,15.12,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,33,2,2,1200,941.8,15.12,15.32,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,34,2,2,1200,463.6,15.32,14.45,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,35,2,2,1200,1052.0,14.45,13.59,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,36,0,0,300,355.7,13.59,12.46,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,0,37,1,1,750,952.1,12.46,14.1,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,38,1,1,750,1023.8,14.1,14.83,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,39,1,1,750,960.6,14.83,15.26,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,40,1,1,750,955.9,15.26,12.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,41,2,2,1200,880.2,12.06,8.8,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,42,2,2,1200,1063.0,8.8,7.41,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,43,2,2,1200,934.7,7.41,6.34,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,44,0,0,300,994.6,6.34,8.06,0.0,66.58,23.76,42.82,0,0.0,1,750,0.025,83.73,83.62,-40.800000000000004,-0.025,0
Proposed,bigbuckbunny,0,45,1,1,750,1000.9,8.06,9.2,0.0,83.73,17.15,66.58,0,0.0,2,1200,0.579,90.34,81.24,-14.659999999999997,-0.579,0
Proposed,bigbuckbunny,0,46,1,1,750,858.9,9.2,10.55,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.241,90.34,89.3,-5.569999999999993,-0.241,0
Proposed,bigbuckbunny,0,47,1,1,750,1103.0,10.55,12.74,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,0,0,0,300,587.0,2.88,4.0,1.271,66.58,0.0,61.11,0,0.0,0,300,1.271,66.58,61.11,0.0,0.0,1
Proposed,bigbuckbunny,1,1,0,0,300,787.1,4.0,5.95,0.0,66.58,0.0,66.58,0,0.0,1,750,1.118,83.73,61.77,4.809999999999995,-1.118,0
Proposed,bigbuckbunny,1,2,1,1,750,677.6,5.95,5.11,0.0,83.73,17.15,66.58,0,0.0,1,750,0.841,83.73,80.11,-13.530000000000001,-0.841,1
Proposed,bigbuckbunny,1,3,0,0,300,650.6,5.11,7.02,0.0,66.58,17.15,49.43,0,0.0,1,750,1.222,83.73,78.47,-29.04,-1.222,0
Proposed,bigbuckbunny,1,4,0,0,300,725.7,7.02,8.26,0.0,66.58,0.0,66.58,0,0.0,1,750,2.909,83.73,71.22,-4.640000000000001,-2.909,0
Proposed,bigbuckbunny,1,5,1,1,750,824.8,8.26,10.36,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,6,1,1,750,252.3,10.36,5.28,0.0,83.73,0.0,83.73,0,0.0,1,750,2.981,83.73,70.91,12.820000000000007,-2.981,1
Proposed,bigbuckbunny,1,7,0,0,300,761.1,5.28,8.3,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,8,1,1,750,502.5,8.3,6.96,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,9,1,1,750,618.3,6.96,9.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,1,750,583.5,9.0,10.95,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,1,750,488.0,10.95,11.99,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,1,1,750,778.7,11.99,11.92,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,13,1,1,750,653.2,11.92,12.69,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,14,1,1,750,587.3,12.69,12.68,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,1,750,472.8,12.68,12.09,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,0,0,300,790.7,12.09,13.25,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,17,1,1,750,576.4,13.25,12.92,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,18,1,1,750,793.4,12.92,12.11,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,19,1,1,750,446.8,12.11,8.03,0.0,83.73,0.0,83.73,0,0.0,1,750,2.961,83.73,71.0,12.730000000000004,-2.961,1
Proposed,bigbuckbunny,1,20,0,0,300,561.7,8.03,6.78,0.0,66.58,17.15,49.43,0,0.0,1,750,9.133,83.73,44.46,4.969999999999999,-9.133,0
