method,reward_mean,reward_std,rebuffer_mean,rebuffer_std,quality_mean,quality_std,switches_mean,switches_std
PPO,-112.4200570707919,202.5221706107325,34.18958885367253,47.96058079380056,0.7238578125000003,0.20227917735956363,0.75,0.4330127018922193
BBA,14.57242202930449,48.54359551896155,4.1304576676036096,10.876160410839097,0.7746539583333334,0.08037617547605742,24.0,10.540398474441087
Random,-953.0376758385155,1228.911573409362,226.0004199624455,285.6564234200226,0.7936277083333335,0.022721105191806843,40.45,2.616772821625905
