Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,1,1,750,858.9,5.89,5.1,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,1,1,750,1103.0,5.1,5.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,4.317,83.73,0.0,65.17,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.0,0.003,83.73,0.0,83.72,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,4.0,4.82,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,4.82,4.0,1.466,83.73,0.0,77.43,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,4.0,4.0,6.299,83.73,0.0,56.64,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,4.0,4.68,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,4.68,4.0,7.225,83.73,0.0,52.66,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,4.0,0.348,83.73,0.0,82.23,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,4.0,4.0,5.734,83.73,0.0,59.07,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,4.0,4.43,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,4.43,4.0,1.056,83.73,0.0,79.19,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,4.0,4.0,0.396,83.73,0.0,82.03,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,4.0,4.0,0.4,83.73,0.0,82.01,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,4.0,5.22,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,5.22,6.99,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,6.99,8.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,8.18,7.67,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,7.67,7.58,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,7.58,9.81,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,9.81,7.59,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,7.59,4.0,1.014,83.73,0.0,79.37,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,1.495,83.73,0.0,77.3,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,4.351,83.73,0.0,65.02,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.0,1.927,83.73,0.0,75.44,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,4.0,4.0,11.374,83.73,0.0,34.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,1.516,83.73,0.0,77.21,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.0,2.644,83.73,0.0,72.36,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,4.0,4.0,1.4,83.73,0.0,77.71,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,4.0,4.0,7.469,83.73,0.0,51.61,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.0,5.13,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,5.13,5.3,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,1,1,750,420.5,5.3,5.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,5.56,4.0,2.231,83.73,0.0,74.14,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.0,6.03,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,6.03,7.6,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,1,1,750,677.2,7.6,9.55,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,9.55,7.35,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,7.35,8.55,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,8.55,9.26,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,9.26,9.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,9.86,6.15,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,6.15,4.08,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,4.08,5.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,1,1,750,1001.1,5.14,5.27,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,1,1,750,505.3,5.27,4.0,7.396,83.73,0.0,51.93,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.0,3.6,83.73,0.0,68.25,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,4.0,4.0,2.927,83.73,0.0,71.15,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,4.0,4.0,0.195,83.73,0.0,82.89,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,2.504,83.73,0.0,72.96,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,2,1,1,750,941.8,4.47,6.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,3,1,1,750,463.6,6.18,4.0,2.639,83.73,0.0,72.38,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.0,3.105,83.73,0.0,70.38,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,3.695,83.73,0.0,67.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,6,1,1,750,952.1,4.0,4.84,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,7,1,1,750,1023.8,4.84,5.61,0.0,83.73,0.0,83.73,0,0.0,
