Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.609,66.58,0.0,63.96
Proposed,bigbuckbunny,0,1,0,300,892.4,4.0,6.85,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,2,1,750,941.8,6.85,7.85,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,3,1,750,463.6,7.85,6.22,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,4,0,300,1052.0,6.22,7.88,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,0,5,0,300,355.7,7.88,6.93,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,6,0,300,952.1,6.93,9.93,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,7,1,750,1023.8,9.93,11.48,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,8,1,750,960.6,11.48,9.34,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,9,1,750,955.9,9.34,10.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,10,1,750,880.2,10.63,11.64,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,11,1,750,1063.0,11.64,13.61,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,12,1,750,934.7,13.61,14.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,13,2,1200,994.6,14.36,16.43,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,14,3,1850,1000.9,16.43,16.26,0.0,95.49,5.15,90.34
Proposed,bigbuckbunny,0,15,3,1850,858.9,16.26,15.17,0.0,95.49,0.0,95.49
Proposed,bigbuckbunny,0,16,2,1200,1103.0,15.17,13.74,0.0,90.34,5.15,85.19
Proposed,bigbuckbunny,0,17,2,1200,966.8,13.74,15.11,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,18,2,1200,810.4,15.11,13.9,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,19,2,1200,971.9,13.9,14.69,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,20,1,750,704.0,14.69,10.75,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,21,1,750,1036.7,10.75,11.74,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,22,1,750,1087.5,11.74,12.31,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,23,1,750,1111.3,12.31,13.96,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,24,1,750,1138.6,13.96,12.75,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,25,2,1200,1073.9,12.75,13.36,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,26,2,1200,1065.4,13.36,14.14,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,27,2,1200,984.5,14.14,12.68,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,28,1,750,824.4,12.68,9.15,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,29,1,750,1037.6,9.15,10.17,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,30,2,1200,1055.3,10.17,11.09,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,31,2,1200,1126.0,11.09,12.17,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,32,2,1200,892.4,12.17,10.26,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,33,2,1200,941.8,10.26,12.09,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,34,2,1200,463.6,12.09,9.15,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,35,1,750,1052.0,9.15,11.24,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,36,0,300,355.7,11.24,11.57,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,0,37,1,750,952.1,11.57,12.93,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,38,2,1200,1023.8,12.93,14.71,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,39,2,1200,960.6,14.71,14.58,0.0,90.34,0.0,90.34
