Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,33,2,2,1200,941.8,4.0,4.35,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,34,2,2,1200,463.6,4.35,4.21,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,35,2,2,1200,1052.0,4.21,5.13,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,36,2,2,1200,355.7,5.13,4.0,7.273,90.34,0.0,59.06,0,0.0,1,750,0.0,83.73,83.73,-24.67,7.273,0
Proposed,bigbuckbunny,0,37,2,2,1200,952.1,4.0,5.93,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,83.73,6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,38,2,2,1200,1023.8,5.93,6.94,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,39,2,2,1200,960.6,6.94,8.71,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,40,2,2,1200,955.9,8.71,5.8,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,41,2,2,1200,880.2,5.8,5.61,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,42,2,2,1200,1063.0,5.61,6.16,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,43,2,2,1200,934.7,6.16,6.91,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,44,2,2,1200,994.6,6.91,4.0,4.018,90.34,0.0,73.06,0,0.0,2,1200,0.0,90.34,90.34,-17.28,4.018,1
Proposed,bigbuckbunny,0,45,2,2,1200,1000.9,4.0,4.0,1.658,90.34,0.0,83.21,0,0.0,2,1200,0.0,90.34,90.34,-7.13000000000001,1.658,1
