Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,1,1,750,858.9,5.56,6.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,1,1,750,1103.0,6.0,7.38,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,5.74,83.73,0.0,59.05,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.0,0.024,83.73,0.0,83.63,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,4.0,4.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,4.46,4.0,2.109,83.73,0.0,74.66,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,4.0,4.0,6.058,83.73,0.0,57.68,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,4.0,5.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,5.23,4.0,6.849,83.73,0.0,54.28,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,4.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,4.56,4.0,3.68,83.73,0.0,67.91,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,4.0,4.79,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,4.79,4.64,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,4.64,4.49,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,4.49,4.69,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,4.69,5.44,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,5.44,7.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,7.14,6.53,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,6.53,5.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,5.95,6.01,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,6.01,6.7,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,6.7,5.07,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,5.07,4.0,5.246,83.73,0.0,61.17,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,1.434,83.73,0.0,77.57,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,5.101,83.73,0.0,61.79,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,4.19,4.0,11.106,83.73,0.0,35.97,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,2.77,83.73,0.0,71.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.0,1.817,83.73,0.0,75.92,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,4.0,4.0,3.546,83.73,0.0,68.48,0,0.0,
