Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,2,2,1200,858.9,11.05,10.14,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,2,2,1200,1103.0,10.14,11.6,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,2.789,83.73,0.0,71.74,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,5.53,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,5.53,6.59,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,6.59,7.4,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,7.4,6.21,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,6.21,7.11,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,7.11,4.0,0.341,83.73,0.0,82.26,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,4.0,0.293,83.73,0.0,82.47,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,4.0,4.0,6.486,83.73,0.0,55.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,4.0,4.0,1.832,83.73,0.0,75.85,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,4.0,4.0,2.642,83.73,0.0,72.37,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,4.0,4.0,1.057,83.73,0.0,79.18,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,4.0,4.0,4.427,83.73,0.0,64.69,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,4.0,4.0,1.457,83.73,0.0,77.46,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,4.0,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,4.47,4.0,2.222,83.73,0.0,74.17,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,4.0,4.0,2.304,83.73,0.0,73.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,4.0,4.0,1.252,83.73,0.0,78.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,4.0,5.28,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,5.28,4.61,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,4.61,4.0,2.264,83.73,0.0,74.0,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.14,4.0,0.913,83.73,0.0,79.8,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.93,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,4.93,4.0,2.945,83.73,0.0,71.07,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,0.566,83.73,0.0,81.29,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.0,0.35,83.73,0.0,82.23,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,4.0,4.0,3.634,83.73,0.0,68.11,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,4.0,4.0,6.944,83.73,0.0,53.87,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.0,4.0,0.208,83.73,0.0,82.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,4.0,4.0,1.881,83.73,0.0,75.64,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,1,1,750,420.5,4.0,4.0,5.69,83.73,0.0,59.26,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,4.0,4.0,7.521,83.73,0.0,51.39,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.0,4.0,1.998,83.73,0.0,75.14,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,4.0,5.1,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,1,1,750,677.2,5.1,6.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,6.23,4.0,5.222,83.73,0.0,61.28,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,4.0,5.43,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,5.43,5.82,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,5.82,6.61,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,6.61,5.23,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,5.23,6.89,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,6.89,8.76,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,2,2,1200,1001.1,8.76,10.85,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,2,2,1200,505.3,10.85,4.0,1.764,90.34,0.0,82.76,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.0,0.563,83.73,6.61,74.7,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,4.0,4.0,0.444,83.73,0.0,81.82,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,4.0,6.12,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,1.707,83.73,0.0,76.39,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,5.83,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,2,2,2,1200,941.8,5.83,6.44,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,3,2,2,1200,463.6,6.44,4.0,0.728,90.34,0.0,87.21,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.42,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,5,1,1,750,355.7,4.42,4.0,2.765,83.73,0.0,71.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,6,1,1,750,952.1,4.0,6.03,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,7,1,1,750,1023.8,6.03,6.83,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,8,1,1,750,960.6,6.83,5.35,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,9,1,1,750,955.9,5.35,5.58,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,10,1,1,750,880.2,5.58,5.17,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,11,1,1,750,1063.0,5.17,6.85,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,12,1,1,750,934.7,6.85,4.0,0.168,83.73,0.0,83.01,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,13,1,1,750,994.6,4.0,4.42,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,14,1,1,750,1000.9,4.42,6.34,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,15,1,1,750,858.9,6.34,6.66,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,16,1,1,750,1103.0,6.66,6.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,17,1,1,750,966.8,6.14,7.01,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,18,2,2,1200,810.4,7.01,6.75,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,19,2,2,1200,971.9,6.75,7.32,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,20,1,1,750,704.0,7.32,5.83,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,21,1,1,750,1036.7,5.83,7.86,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,22,2,2,1200,1087.5,7.86,9.16,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,23,2,2,1200,1111.3,9.16,10.01,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,24,2,2,1200,1138.6,10.01,8.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,25,2,2,1200,1073.9,8.75,9.52,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,26,2,2,1200,1065.4,9.52,9.5,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,27,2,2,1200,984.5,9.5,8.19,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,28,1,1,750,824.4,8.19,5.87,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,29,1,1,750,1037.6,5.87,6.59,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,30,1,1,750,1055.3,6.59,6.69,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,31,1,1,750,1126.0,6.69,7.07,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,32,1,1,750,892.4,7.07,4.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,33,1,1,750,941.8,4.95,4.78,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,34,1,1,750,463.6,4.78,4.47,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,35,1,1,750,1052.0,4.47,6.62,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,36,1,1,750,355.7,6.62,4.0,7.707,83.73,0.0,50.59,0,0.0,
