Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,31,1,1,750,420.5,30.0,29.03,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,32,1,1,750,473.9,29.03,27.24,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,33,2,2,1200,654.6,27.24,27.88,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,1,34,2,2,1200,689.7,27.88,27.3,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,1,35,2,2,1200,677.2,27.3,26.12,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,1,36,1,1,750,444.9,26.12,22.77,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,1,37,1,1,750,795.5,22.77,24.21,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,38,1,1,750,664.8,24.21,25.32,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,39,1,1,750,743.5,25.32,26.86,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,40,0,0,300,649.3,26.86,27.74,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,41,1,1,750,598.7,27.74,27.67,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,42,0,0,300,981.2,27.67,30.0,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,43,0,0,300,1001.1,30.0,30.0,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,1,44,0,0,300,505.3,30.0,28.94,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,1,45,1,1,750,571.6,28.94,29.12,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,46,1,1,750,594.1,29.12,27.61,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,47,1,1,750,930.5,27.61,28.66,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,0.498,66.58,0.0,16.76,0,0.0
Proposed,bigbuckbunny,2,1,0,0,300,892.4,4.0,6.77,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,2,0,0,300,941.8,6.77,9.81,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,3,0,0,300,463.6,9.81,10.97,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,4,0,0,300,1052.0,10.97,12.42,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,5,0,0,300,355.7,12.42,11.7,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,6,0,0,300,952.1,11.7,14.24,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,7,0,0,300,1023.8,14.24,16.78,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,8,0,0,300,960.6,16.78,18.81,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,9,0,0,300,955.9,18.81,21.52,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,10,0,0,300,880.2,21.52,24.3,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,2,11,1,1,750,1063.0,24.3,27.04,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,12,1,1,750,934.7,27.04,27.58,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,27.58,29.55,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,29.55,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,16,1,1,750,1103.0,30.0,30.0,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,30.0,30.0,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,20,1,1,750,704.0,30.0,26.57,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,21,1,1,750,1036.7,26.57,27.86,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,22,1,1,750,1087.5,27.86,29.14,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,23,1,1,750,1111.3,29.14,29.47,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,29.47,28.78,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,25,1,1,750,1073.9,28.78,29.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,26,2,2,1200,1065.4,29.19,29.93,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,29.93,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,28,1,1,750,824.4,30.0,26.83,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,26.83,27.58,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,27.58,29.01,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,29.01,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,30.0,29.08,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,29.08,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,30.0,27.19,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,27.19,27.85,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,36,2,2,1200,355.7,27.85,17.14,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,37,1,1,750,952.1,17.14,19.0,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,19.0,21.12,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,39,1,1,750,960.6,21.12,23.22,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,40,0,0,300,955.9,23.22,25.1,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,2,41,1,1,750,880.2,25.1,26.33,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,26.33,26.54,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,43,1,1,750,934.7,26.54,26.07,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,44,0,0,300,994.6,26.07,27.5,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,2,45,1,1,750,1000.9,27.5,29.32,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,29.32,29.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,29.5,30.0,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,0,0,0,300,1070.0,1.09,4.0,0.744,66.58,0.0,-7.79,0,0.0
Proposed,bigbuckbunny,3,1,0,0,300,1465.1,4.0,7.25,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,2,0,0,300,835.4,7.25,10.17,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,3,0,0,300,338.2,10.17,10.27,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,4,0,0,300,799.4,10.27,10.92,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,5,0,0,300,852.7,10.92,12.95,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,6,0,0,300,608.4,12.95,14.67,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,7,0,0,300,376.5,14.67,14.71,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,8,0,0,300,1048.2,14.71,16.91,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,9,0,0,300,869.5,16.91,19.49,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,10,0,0,300,861.3,19.49,22.24,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,11,0,0,300,846.7,22.24,25.61,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,12,0,0,300,598.8,25.61,27.45,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,13,1,1,750,608.7,27.45,29.37,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,14,1,1,750,797.1,29.37,30.0,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,15,2,2,1200,1016.9,30.0,30.0,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,16,2,2,1200,1018.2,30.0,27.57,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,17,2,2,1200,1221.8,27.57,28.9,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,18,2,2,1200,1244.0,28.9,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,19,2,2,1200,967.8,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,20,1,1,750,1259.1,30.0,29.85,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,21,2,2,1200,1059.4,29.85,29.61,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,22,2,2,1200,1076.0,29.61,29.2,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,23,2,2,1200,1209.8,29.2,27.8,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,24,1,1,750,901.4,27.8,25.88,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,25,1,1,750,854.8,25.88,25.37,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,26,2,2,1200,839.1,25.37,25.24,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,27,2,2,1200,1088.7,25.24,26.08,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,28,1,1,750,1224.0,26.08,25.25,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,29,2,2,1200,1011.0,25.25,25.92,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,30,2,2,1200,1048.2,25.92,27.33,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,31,2,2,1200,1045.6,27.33,28.14,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,32,2,2,1200,876.3,28.14,27.12,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,33,2,2,1200,824.0,27.12,28.46,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,34,2,2,1200,1157.6,28.46,29.73,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,35,2,2,1200,894.8,29.73,29.81,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,36,2,2,1200,1077.9,29.81,28.95,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,37,2,2,1200,1041.8,28.95,29.82,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,38,2,2,1200,1157.7,29.82,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,39,2,2,1200,1092.3,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,40,1,1,750,948.7,30.0,28.66,0.0,83.73,6.61,77.12,0,0.0
