Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,38,1,750,1023.8,13.45,13.62,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,39,1,750,960.6,13.62,13.43,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,40,1,750,955.9,13.43,12.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,41,1,750,880.2,12.51,14.59,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,42,1,750,1063.0,14.59,17.12,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,43,1,750,934.7,17.12,18.09,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,44,1,750,994.6,18.09,18.64,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,45,1,750,1000.9,18.64,20.85,0.0,83.73,0.0,83.73,3,1850,0.146,95.49,89.71,-5.97999999999999,-0.146,0
Proposed,bigbuckbunny,0,46,1,750,858.9,20.85,23.13,0.0,83.73,0.0,83.73,3,1850,0.25,95.49,94.41,-10.679999999999993,-0.25,0
Proposed,bigbuckbunny,0,47,1,750,1103.0,23.13,25.81,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,1.374,66.58,0.0,60.67,0,300,1.374,66.58,60.67,0.0,0.0,1
Proposed,bigbuckbunny,1,1,0,300,787.1,4.0,7.03,0.0,66.58,0.0,66.58,1,750,0.0,83.73,66.58,0.0,0.0,0
