Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,29,2,2,1200,1037.6,11.41,11.93,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,30,2,2,1200,1055.3,11.93,13.49,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,31,3,3,1850,1126.0,13.49,14.86,0.0,95.49,5.15,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,0
Proposed,bigbuckbunny,0,32,2,2,1200,892.4,14.86,13.11,0.0,90.34,5.15,85.19,0,0.0,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
Proposed,bigbuckbunny,0,33,2,2,1200,941.8,13.11,13.44,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,34,2,2,1200,463.6,13.44,9.08,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,0,35,2,2,1200,1052.0,9.08,10.08,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,36,1,1,750,355.7,10.08,4.0,4.676,83.73,6.61,57.01,0,0.0,1,750,0.0,83.73,83.73,-26.720000000000006,4.676,1
Proposed,bigbuckbunny,0,37,2,2,1200,952.1,4.0,4.99,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,38,1,1,750,1023.8,4.99,6.71,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,39,1,1,750,960.6,6.71,8.01,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,40,1,1,750,955.9,8.01,4.83,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,41,1,1,750,880.2,4.83,4.4,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,42,1,1,750,1063.0,4.4,5.17,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,43,1,1,750,934.7,5.17,6.08,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,44,1,1,750,994.6,6.08,4.0,0.504,83.73,0.0,81.56,0,0.0,1,750,0.0,83.73,83.73,-2.1700000000000017,0.504,1
Proposed,bigbuckbunny,0,45,1,1,750,1000.9,4.0,5.26,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,46,1,1,750,858.9,5.26,5.47,0.0,83.73,0.0,83.73,0,0.0,2,1200,1.234,90.34,85.03,-1.2999999999999972,-1.234,0
Proposed,bigbuckbunny,0,47,1,1,750,1103.0,5.47,7.79,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,9.192,83.73,0.0,44.2,0,0.0,0,300,1.951,66.58,58.19,-13.989999999999995,7.241,0
Proposed,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.82,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,66.58,17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,2,1,1,750,677.6,4.82,5.01,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,3,1,1,750,650.6,5.01,4.63,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,4,1,1,750,725.7,4.63,4.0,3.997,83.73,0.0,66.54,0,0.0,1,750,3.997,83.73,66.54,0.0,0.0,1
Proposed,bigbuckbunny,1,5,1,1,750,824.8,4.0,4.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,6,1,1,750,252.3,4.61,4.0,2.475,83.73,0.0,73.09,0,0.0,1,750,2.475,83.73,73.09,0.0,0.0,1
Proposed,bigbuckbunny,1,7,1,1,750,761.1,4.0,6.1,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,8,1,1,750,502.5,6.1,4.0,1.44,83.73,0.0,77.54,0,0.0,1,750,1.44,83.73,77.54,0.0,0.0,1
Proposed,bigbuckbunny,1,9,1,1,750,618.3,4.0,6.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,1,750,583.5,6.06,7.18,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,1,750,488.0,7.18,6.84,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,1,1,750,778.7,6.84,7.41,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,13,1,1,750,653.2,7.41,8.41,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,14,1,1,750,587.3,8.41,10.19,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
