Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed_ShieldedQoE,bigbuckbunny,0,30,2,2,1200,1055.3,20.38,19.55,0.0,90.34,0.0,90.34,0,0.03225806451612903,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,31,2,2,1200,1126.0,19.55,19.35,0.0,90.34,0.0,90.34,0,0.03125,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,32,2,2,1200,892.4,19.35,11.6,0.0,90.34,0.0,90.34,0,0.030303030303030304,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,33,2,2,1200,941.8,11.6,12.14,0.0,90.34,0.0,90.34,0,0.029411764705882353,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,34,2,2,1200,463.6,12.14,4.0,0.844,90.34,0.0,86.71,0,0.02857142857142857,1,750,0.0,83.73,83.73,2.9799999999999898,0.844,0
Proposed_ShieldedQoE,bigbuckbunny,0,35,0,0,300,1052.0,4.0,5.24,0.0,66.58,23.76,42.82,0,0.027777777777777776,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,36,1,0,300,355.7,5.24,4.0,2.368,66.58,0.0,56.4,1,0.05405405405405406,1,750,3.657,83.73,68.0,-11.600000000000001,-1.2890000000000001,0
Proposed_ShieldedQoE,bigbuckbunny,0,37,0,0,300,952.1,4.0,6.92,0.0,66.58,0.0,66.58,0,0.05263157894736842,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,38,0,0,300,1023.8,6.92,9.74,0.0,66.58,0.0,66.58,0,0.05128205128205128,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,39,4,4,2850,960.6,9.74,10.07,0.0,97.11,30.53,66.58,0,0.05,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,40,1,1,750,955.9,10.07,9.3,0.0,83.73,13.38,70.35,0,0.04878048780487805,1,750,0.0,83.73,83.73,-13.38000000000001,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,41,1,1,750,880.2,9.3,10.16,0.0,83.73,0.0,83.73,0,0.047619047619047616,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,0,42,1,1,750,1063.0,10.16,12.59,0.0,83.73,0.0,83.73,0,0.046511627906976744,3,1850,0.0,95.49,83.73,0.0,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,43,5,5,6000,934.7,12.59,14.42,0.0,97.14,13.41,83.73,0,0.045454545454545456,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,44,2,2,1200,994.6,14.42,14.05,0.0,90.34,6.8,83.54,0,0.044444444444444446,3,1850,0.0,95.49,95.49,-11.949999999999989,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,45,2,2,1200,1000.9,14.05,15.27,0.0,90.34,0.0,90.34,0,0.043478260869565216,3,1850,0.0,95.49,95.49,-5.1499999999999915,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,0,46,2,2,1200,858.9,15.27,15.86,0.0,90.34,0.0,90.34,0,0.0425531914893617,3,1850,0.711,95.49,92.43,-2.0900000000000034,-0.711,0
Proposed_ShieldedQoE,bigbuckbunny,0,47,2,2,1200,1103.0,15.86,17.06,0.0,90.34,0.0,90.34,0,0.041666666666666664,3,1850,0.325,95.49,94.09,-3.75,-0.325,0
Proposed_ShieldedQoE,bigbuckbunny,1,0,0,0,300,587.0,2.88,4.0,0.382,66.58,0.0,64.94,0,0.0,0,300,0.382,66.58,64.94,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,1,0,0,300,787.1,4.0,7.01,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,1,2,4,4,2850,677.6,7.01,8.35,0.0,97.11,30.53,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed_ShieldedQoE,bigbuckbunny,1,3,1,1,750,650.6,8.35,9.37,0.0,83.73,13.38,70.35,0,0.0,1,750,0.0,83.73,83.73,-13.38000000000001,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,4,1,1,750,725.7,9.37,9.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,5,1,1,750,824.8,9.2,11.57,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,6,1,1,750,252.3,11.57,7.73,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,7,1,1,750,761.1,7.73,9.75,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,8,1,1,750,502.5,9.75,5.17,0.0,83.73,0.0,83.73,0,0.0,1,750,0.32,83.73,82.35,1.3800000000000097,-0.32,1
Proposed_ShieldedQoE,bigbuckbunny,1,9,1,1,750,618.3,5.17,6.9,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,10,1,1,750,583.5,6.9,8.14,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,11,1,1,750,488.0,8.14,5.25,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,12,0,0,300,778.7,5.25,6.29,0.0,66.58,17.15,49.43,0,0.0,1,750,3.325,83.73,69.43,-20.000000000000007,-3.325,0
Proposed_ShieldedQoE,bigbuckbunny,1,13,0,0,300,653.2,6.29,7.88,0.0,66.58,0.0,66.58,0,0.0,1,750,2.027,83.73,75.02,-8.439999999999998,-2.027,0
Proposed_ShieldedQoE,bigbuckbunny,1,14,0,0,300,587.3,7.88,8.94,0.0,66.58,0.0,66.58,0,0.0,1,750,3.337,83.73,69.38,-2.799999999999997,-3.337,0
Proposed_ShieldedQoE,bigbuckbunny,1,15,0,0,300,472.8,8.94,9.35,0.0,66.58,0.0,66.58,0,0.0,1,750,4.983,83.73,62.3,4.280000000000001,-4.983,0
Proposed_ShieldedQoE,bigbuckbunny,1,16,0,0,300,790.7,9.35,9.81,0.0,66.58,0.0,66.58,0,0.0,1,750,4.862,83.73,62.83,3.75,-4.862,0
Proposed_ShieldedQoE,bigbuckbunny,1,17,1,1,750,576.4,9.81,7.01,0.0,83.73,17.15,66.58,0,0.0,1,750,2.799,83.73,71.69,-5.109999999999999,-2.799,1
Proposed_ShieldedQoE,bigbuckbunny,1,18,1,1,750,793.4,7.01,8.3,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed_ShieldedQoE,bigbuckbunny,1,19,1,1,750,446.8,8.3,6.01,0.0,83.73,0.0,83.73,0,0.0,1,750,1.001,83.73,79.43,4.299999999999997,-1.001,1
Proposed_ShieldedQoE,bigbuckbunny,1,20,0,0,300,561.7,6.01,6.14,0.0,66.58,17.15,49.43,0,0.0,1,750,5.653,83.73,59.42,-9.990000000000002,-5.653,0
