method,video,reward_mean,reward_std,rebuffer_mean,rebuffer_std,quality_mean,quality_std,switches_mean,switches_std,bitrate_mean,bitrate_std,num_episodes
PPO_V4,sample1,114.37885139933516,33.149137177280956,1.5981812286664145,0.9731491869078656,0.7209369791666669,0.1414613381797251,9.1,8.653900854527976,720.3645833333333,371.63310220149896,20
PPO_V3,sample1,115.18092139933518,32.883879975734395,1.5981812286664145,0.9731491869078656,0.7177565625000004,0.14709032186725188,10.55,10.302790884027493,601.875,153.94994620817508,20
PPO_V2,sample1,87.73440639933514,43.701997816773975,1.5981812286664145,0.9731491869078656,0.5529515625000002,0.21998717199705492,0.4,0.48989794855663565,447.65625,181.00974108369832,20
PPO_V1,sample1,-138.88740947570767,347.0555061865941,34.18958885367253,47.96058079380056,0.7238578125000003,0.20227917735956363,0.75,0.4330127018922193,588.28125,166.4392572898218,20
Pensieve,sample1,53.353912755092075,52.99916183918613,4.688934897963178,10.711074889678462,0.2095610119047619,0.07094776912731847,12.15,7.206073826987897,966.9270833333333,496.63438389122916,20
BBA,sample1,74.44376201627962,85.98139682380386,4.077884354817198,10.872608755659531,0.7398012500000002,0.10910808033605046,22.85,8.644506926366592,1104.3229166666665,730.8577321415409,20
MPC,sample1,8.995554824952006,132.79583027960456,10.468591810721145,18.57234169502636,0.7520028125,0.11099801197128564,25.55,7.5860068547293045,1186.3541666666665,802.0058742359856,20
Random,sample1,-2491.3973740788747,2532.6486629957403,368.5268148684107,359.9536970859212,0.7884375000000003,0.02488203471333678,40.8,2.657066051117284,2088.125,276.68192258389814,20
