Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,3,1,1,750,650.6,5.01,4.63,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,4,1,1,750,725.7,4.63,4.0,3.997,83.73,0.0,66.54,0,0.0
Proposed,bigbuckbunny,1,5,1,1,750,824.8,4.0,4.61,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,6,1,1,750,252.3,4.61,4.0,2.475,83.73,0.0,73.09,0,0.0
Proposed,bigbuckbunny,1,7,1,1,750,761.1,4.0,6.1,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,8,1,1,750,502.5,6.1,4.0,1.44,83.73,0.0,77.54,0,0.0
Proposed,bigbuckbunny,1,9,1,1,750,618.3,4.0,6.06,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,10,1,1,750,583.5,6.06,7.18,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,11,1,1,750,488.0,7.18,6.84,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,12,1,1,750,778.7,6.84,7.41,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,13,1,1,750,653.2,7.41,8.41,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,14,1,1,750,587.3,8.41,10.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,15,1,1,750,472.8,10.19,9.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,16,1,1,750,790.7,9.5,7.82,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,17,1,1,750,576.4,7.82,7.35,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,18,1,1,750,793.4,7.35,7.16,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,19,1,1,750,446.8,7.16,5.86,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,20,1,1,750,561.7,5.86,4.0,3.844,83.73,0.0,67.2,0,0.0
Proposed,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,1.522,83.73,0.0,77.18,0,0.0
Proposed,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,2.007,83.73,0.0,75.1,0,0.0
Proposed,bigbuckbunny,1,23,1,1,750,712.6,4.0,4.0,1.704,83.73,0.0,76.4,0,0.0
Proposed,bigbuckbunny,1,24,1,1,750,475.3,4.0,4.0,6.143,83.73,0.0,57.31,0,0.0
Proposed,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,0.64,83.73,0.0,80.98,0,0.0
Proposed,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.0,1.288,83.73,0.0,78.19,0,0.0
Proposed,bigbuckbunny,1,27,1,1,750,428.1,4.0,4.42,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,28,1,1,750,475.6,4.42,4.0,2.448,83.73,0.0,73.2,0,0.0
Proposed,bigbuckbunny,1,29,1,1,750,809.7,4.0,5.21,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,30,1,1,750,699.9,5.21,6.91,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,31,1,1,750,420.5,6.91,8.06,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,32,1,1,750,473.9,8.06,5.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,33,1,1,750,654.6,5.29,5.99,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,34,1,1,750,689.7,5.99,6.48,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,35,1,1,750,677.2,6.48,7.56,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,36,1,1,750,444.9,7.56,4.0,4.232,83.73,0.0,65.53,0,0.0
Proposed,bigbuckbunny,1,37,1,1,750,795.5,4.0,5.75,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,38,1,1,750,664.8,5.75,6.23,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,39,1,1,750,743.5,6.23,6.75,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,40,1,1,750,649.3,6.75,4.0,3.825,83.73,0.0,67.28,0,0.0
Proposed,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.509,83.73,0.0,72.94,0,0.0
Proposed,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,4.5,5.61,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,44,1,1,750,505.3,5.61,4.0,7.347,83.73,0.0,52.14,0,0.0
Proposed,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.0,0.791,83.73,0.0,80.33,0,0.0
Proposed,bigbuckbunny,1,46,1,1,750,594.1,4.0,4.0,1.492,83.73,0.0,77.31,0,0.0
Proposed,bigbuckbunny,1,47,1,1,750,930.5,4.0,6.01,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,5.046,83.73,0.0,62.03,0,0.0
