Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed_Shielded,bigbuckbunny,0,28,1,1,750,824.4,30.0,27.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,77.12,6.609999999999999,0.0,1
Proposed_Shielded,bigbuckbunny,0,29,2,2,1200,1037.6,27.06,26.59,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed_Shielded,bigbuckbunny,0,30,2,2,1200,1055.3,26.59,24.15,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_Shielded,bigbuckbunny,0,31,2,2,1200,1126.0,24.15,23.38,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_Shielded,bigbuckbunny,0,32,2,2,1200,892.4,23.38,14.9,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_Shielded,bigbuckbunny,0,33,2,2,1200,941.8,14.9,12.09,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_Shielded,bigbuckbunny,0,34,2,2,1200,463.6,12.09,8.23,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed_Shielded,bigbuckbunny,0,35,1,1,750,1052.0,8.23,8.94,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed_Shielded,bigbuckbunny,0,36,1,1,750,355.7,8.94,4.0,6.388,83.73,0.0,56.26,0,0.0,1,750,0.0,83.73,83.73,-27.470000000000006,6.388,1
Proposed_Shielded,bigbuckbunny,0,37,1,1,750,952.1,4.0,5.2,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.318,90.34,82.36,1.3700000000000045,-0.318,0
