variant,reward_mean,reward_std,rebuffer_mean,rebuffer_std,quality_mean,quality_std,switches_mean,switches_std,bitrate_mean,bitrate_std
Full (V4),838.6192958821875,5947.435833699756,7.265464107647469,21.761270396009323,57.40375,11.591364040202516,8.46,6.356760181098545,875.8125000000001,374.74194187930476
Conservative (V2),812.3838627266605,5573.66518562259,5.785325081704754,20.839870696277583,48.51249999999999,7.687601625344539,2.58,3.040328929573246,564.375,150.40959701761054
No Buffer-Aware (V3),720.7244984153685,5746.454976420113,6.889010677700749,21.306046919466173,52.89499999999999,8.042323980044575,9.88,7.399026963053993,670.7291666666667,183.0496443837785
Baseline (V1),-7400.435251213823,22516.47959970838,37.32040636832667,86.93098891611547,48.60833333333333,7.014842894415622,1.94,1.541557653803451,566.25,137.24692619508824
