Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_Shielded,bigbuckbunny,1,26,0,0,300,616.4,16.32,18.91,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0
Proposed_Shielded,bigbuckbunny,1,27,0,0,300,428.1,18.91,20.91,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,28,0,0,300,475.6,20.91,19.93,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,29,0,0,300,809.7,19.93,22.9,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,30,0,0,300,699.9,22.9,25.93,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,31,0,0,300,420.5,25.93,27.94,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,32,0,0,300,473.9,27.94,29.62,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,33,0,0,300,654.6,29.62,30.0,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,34,1,1,750,689.7,30.0,30.0,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_Shielded,bigbuckbunny,1,35,1,1,750,677.2,30.0,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,36,1,1,750,444.9,30.0,26.65,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,37,1,1,750,795.5,26.65,28.09,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,38,1,1,750,664.8,28.09,29.19,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,39,1,1,750,743.5,29.19,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,40,1,1,750,649.3,30.0,26.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,41,1,1,750,598.7,26.2,26.13,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,42,1,1,750,981.2,26.13,26.02,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,43,1,1,750,1001.1,26.02,25.85,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,44,1,1,750,505.3,25.85,17.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,45,1,1,750,571.6,17.2,17.38,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_Shielded,bigbuckbunny,1,46,0,0,300,594.1,17.38,19.18,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004
Proposed_Shielded,bigbuckbunny,1,47,0,0,300,930.5,19.18,22.0,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
