Method,Avg VMAF,Rebuffering Ratio (%),Switch Freq,Standard QoE
Proposed (Lyapunov),53.92708333333334,2.737108616821975,9.4,2225.288844620617
Pensieve*,35.0,0.5017669957218571,0.0,1617.379478933912
RobustMPC,69.82166666666667,8.977057070454718,14.6,2207.8972776072515
