Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,1,13,1,750,653.2,12.46,11.77,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,14,1,750,587.3,11.77,12.31,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,15,1,750,472.8,12.31,11.42,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,16,1,750,790.7,11.42,10.16,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,17,1,750,576.4,10.16,11.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,18,1,750,793.4,11.63,14.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,19,1,750,446.8,14.1,14.53,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,20,1,750,561.7,14.53,12.58,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,21,1,750,529.7,12.58,14.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,22,1,750,362.6,14.32,12.27,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,23,1,750,712.6,12.27,13.65,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,24,1,750,475.3,13.65,7.92,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,25,1,750,474.9,7.92,7.14,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,26,1,750,616.4,7.14,6.71,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,27,1,750,428.1,6.71,4.93,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,28,0,300,475.6,4.93,4.62,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,1,29,0,300,809.7,4.62,6.56,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,30,0,300,699.9,6.56,8.22,0.0,66.58,0.0,66.58
