Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.609,66.58,0.0,63.96,1,750,3.283,83.73,69.61,-5.649999999999999,-2.674,0
Proposed,bigbuckbunny,0,1,1,750,892.4,4.0,5.12,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,2,1,750,941.8,5.12,6.12,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,3,1,750,463.6,6.12,4.49,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,4,0,300,1052.0,4.49,6.16,0.0,66.58,17.15,49.43,1,750,1.342,83.73,77.96,-28.529999999999994,-1.342,0
Proposed,bigbuckbunny,0,5,1,750,355.7,6.16,4.0,6.224,83.73,17.15,39.82,1,750,8.38,83.73,47.7,-7.880000000000003,-2.1560000000000006,1
Proposed,bigbuckbunny,0,6,0,300,952.1,4.0,6.99,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,0,7,1,750,1023.8,6.99,8.54,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,0,8,1,750,960.6,8.54,6.41,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,9,1,750,955.9,6.41,7.69,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,10,1,750,880.2,7.69,8.71,0.0,83.73,0.0,83.73,2,1200,0.216,90.34,89.41,-5.679999999999993,-0.216,0
Proposed,bigbuckbunny,0,11,1,750,1063.0,8.71,10.68,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,12,1,750,934.7,10.68,11.43,0.0,83.73,0.0,83.73,2,1200,0.452,90.34,88.4,-4.670000000000002,-0.452,0
Proposed,bigbuckbunny,0,13,2,1200,994.6,11.43,13.5,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,14,3,1850,1000.9,13.5,13.33,0.0,95.49,5.15,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,0
Proposed,bigbuckbunny,0,15,3,1850,858.9,13.33,12.24,0.0,95.49,0.0,95.49,2,1200,0.0,90.34,90.34,5.1499999999999915,0.0,0
Proposed,bigbuckbunny,0,16,2,1200,1103.0,12.24,10.81,0.0,90.34,5.15,85.19,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
Proposed,bigbuckbunny,0,17,2,1200,966.8,10.81,12.17,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,18,2,1200,810.4,12.17,10.97,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,19,2,1200,971.9,10.97,11.76,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,0,20,1,750,704.0,11.76,7.82,0.0,83.73,6.61,77.12,1,750,0.36,83.73,75.57,1.5500000000000114,-0.36,1
Proposed,bigbuckbunny,0,21,1,750,1036.7,7.82,8.81,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,22,1,750,1087.5,8.81,9.38,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,23,1,750,1111.3,9.38,11.03,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,24,1,750,1138.6,11.03,9.82,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,25,2,1200,1073.9,9.82,10.43,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,26,2,1200,1065.4,10.43,11.21,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,27,2,1200,984.5,11.21,9.75,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,28,1,750,824.4,9.75,6.22,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,29,1,750,1037.6,6.22,7.24,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,30,1,750,1055.3,7.24,9.31,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,31,1,750,1126.0,9.31,11.49,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,32,1,750,892.4,11.49,11.79,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,33,2,1200,941.8,11.79,13.63,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,34,2,1200,463.6,13.63,10.68,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,35,1,750,1052.0,10.68,12.77,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,36,1,750,355.7,12.77,7.6,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,37,1,750,952.1,7.6,8.96,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,0,38,2,1200,1023.8,8.96,10.74,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,39,2,1200,960.6,10.74,10.62,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,40,1,750,955.9,10.62,10.15,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,0,41,1,750,880.2,10.15,10.51,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,0,42,1,750,1063.0,10.51,10.93,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,43,1,750,934.7,10.93,12.09,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,44,1,750,994.6,12.09,9.58,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,45,1,750,1000.9,9.58,10.95,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,46,1,750,858.9,10.95,12.29,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,0,47,1,750,1103.0,12.29,12.74,0.0,83.73,0.0,83.73,2,1200,0.009,90.34,90.3,-6.569999999999993,-0.009,0
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,0.544,66.58,0.0,64.24,0,300,0.544,66.58,64.24,0.0,0.0,1
Proposed,bigbuckbunny,1,1,0,300,787.1,4.0,6.69,0.0,66.58,0.0,66.58,1,750,0.0,83.73,66.58,0.0,0.0,0
Proposed,bigbuckbunny,1,2,1,750,677.6,6.69,6.52,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,3,1,750,650.6,6.52,6.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,4,0,300,725.7,6.51,7.13,0.0,66.58,17.15,49.43,1,750,3.901,83.73,66.96,-17.529999999999994,-3.901,0
Proposed,bigbuckbunny,1,5,1,750,824.8,7.13,5.79,0.0,83.73,17.15,66.58,1,750,1.339,83.73,77.97,-11.39,-1.339,1
Proposed,bigbuckbunny,1,6,1,750,252.3,5.79,4.0,3.715,83.73,0.0,67.75,1,750,5.507,83.73,60.05,7.700000000000003,-1.7919999999999998,1
Proposed,bigbuckbunny,1,7,0,300,761.1,4.0,6.68,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,1,8,0,300,502.5,6.68,5.99,0.0,66.58,0.0,66.58,1,750,7.027,83.73,53.51,13.07,-7.027,0
Proposed,bigbuckbunny,1,9,1,750,618.3,5.99,5.8,0.0,83.73,17.15,66.58,1,750,0.193,83.73,82.9,-16.320000000000007,-0.193,1
Proposed,bigbuckbunny,1,10,1,750,583.5,5.8,5.3,0.0,83.73,0.0,83.73,1,750,0.498,83.73,81.59,2.1400000000000006,-0.498,1
Proposed,bigbuckbunny,1,11,1,750,488.0,5.3,4.87,0.0,83.73,0.0,83.73,1,750,0.431,83.73,81.88,1.8500000000000085,-0.431,1
Proposed,bigbuckbunny,1,12,1,750,778.7,4.87,4.97,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
