Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_ShieldedQoE,bigbuckbunny,0,27,3,3,1850,984.5,26.7,27.21,0.0,95.49,11.76,83.73,0,0.03571428571428571,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,28,0,0,300,824.4,27.21,24.03,0.0,66.58,28.91,37.67,0,0.034482758620689655,1,750,0.0,83.73,83.73,-46.06
Proposed_ShieldedQoE,bigbuckbunny,0,29,1,1,750,1037.6,24.03,26.01,0.0,83.73,17.15,66.58,0,0.03333333333333333,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,0,30,3,3,1850,1055.3,26.01,27.44,0.0,95.49,11.76,83.73,0,0.03225806451612903,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,31,1,1,750,1126.0,27.44,29.58,0.0,83.73,11.76,71.97,0,0.03125,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,32,3,3,1850,892.4,29.58,28.66,0.0,95.49,11.76,83.73,0,0.030303030303030304,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,33,1,1,750,941.8,28.66,30.0,0.0,83.73,11.76,71.97,0,0.029411764705882353,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,34,3,3,1850,463.6,30.0,27.19,0.0,95.49,11.76,83.73,0,0.02857142857142857,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,35,1,1,750,1052.0,27.19,29.1,0.0,83.73,11.76,71.97,0,0.027777777777777776,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,36,3,3,1850,355.7,29.1,18.39,0.0,95.49,11.76,83.73,0,0.02702702702702703,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,0,37,0,0,300,952.1,18.39,20.25,0.0,66.58,28.91,37.67,0,0.02631578947368421,2,1200,0.0,90.34,83.73,-46.06
Proposed_ShieldedQoE,bigbuckbunny,0,38,1,1,750,1023.8,20.25,22.37,0.0,83.73,17.15,66.58,0,0.02564102564102564,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,39,3,3,1850,960.6,22.37,23.33,0.0,95.49,11.76,83.73,0,0.025,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,0,40,0,0,300,955.9,23.33,22.02,0.0,66.58,28.91,37.67,0,0.024390243902439025,2,1200,0.0,90.34,90.34,-52.67
Proposed_ShieldedQoE,bigbuckbunny,0,41,1,1,750,880.2,22.02,23.26,0.0,83.73,17.15,66.58,0,0.023809523809523808,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,42,0,0,300,1063.0,23.26,25.74,0.0,66.58,17.15,49.43,0,0.023255813953488372,2,1200,0.0,90.34,90.34,-40.910000000000004
Proposed_ShieldedQoE,bigbuckbunny,0,43,5,5,6000,934.7,25.74,25.27,0.0,97.14,30.56,66.58,0,0.022727272727272728,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,44,0,0,300,994.6,25.27,26.7,0.0,66.58,30.56,36.02,0,0.022222222222222223,2,1200,0.0,90.34,90.34,-54.32
Proposed_ShieldedQoE,bigbuckbunny,0,45,3,3,1850,1000.9,26.7,28.52,0.0,95.49,28.91,66.58,0,0.021739130434782608,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,0,46,3,3,1850,858.9,28.52,26.42,0.0,95.49,0.0,95.49,0,0.02127659574468085,2,1200,0.0,90.34,90.34,5.1499999999999915
Proposed_ShieldedQoE,bigbuckbunny,0,47,1,1,750,1103.0,26.42,27.93,0.0,83.73,11.76,71.97,0,0.020833333333333332,2,1200,0.0,90.34,90.34,-18.370000000000005
Proposed_ShieldedQoE,bigbuckbunny,1,0,0,0,300,587.0,2.88,4.0,0.47,66.58,0.0,19.6,0,0.0,0,300,0.47,66.58,19.6,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,1,0,0,300,787.1,4.0,6.61,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,2,0,0,300,677.6,6.61,9.27,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,3,0,0,300,650.6,9.27,11.24,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,4,0,0,300,725.7,11.24,11.55,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,5,0,0,300,824.8,11.55,13.52,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,6,0,0,300,252.3,13.52,12.02,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,7,0,0,300,761.1,12.02,14.06,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,8,0,0,300,502.5,14.06,14.29,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,9,0,0,300,618.3,14.29,16.29,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,10,0,0,300,583.5,16.29,18.45,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,11,5,5,6000,488.0,18.45,19.71,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,12,0,0,300,778.7,19.71,22.05,0.0,66.58,30.56,36.02,0,0.0,1,750,0.0,83.73,83.73,-47.71
Proposed_ShieldedQoE,bigbuckbunny,1,13,5,5,6000,653.2,22.05,24.11,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,14,1,1,750,587.3,24.11,25.3,0.0,83.73,13.41,70.32,0,0.0,1,750,0.0,83.73,83.73,-13.41000000000001
Proposed_ShieldedQoE,bigbuckbunny,1,15,1,1,750,472.8,25.3,25.05,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,16,0,0,300,790.7,25.05,26.98,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004
Proposed_ShieldedQoE,bigbuckbunny,1,17,5,5,6000,576.4,26.98,27.43,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,18,1,1,750,793.4,27.43,29.19,0.0,83.73,13.41,70.32,0,0.0,1,750,0.0,83.73,83.73,-13.41000000000001
Proposed_ShieldedQoE,bigbuckbunny,1,19,3,3,1850,446.8,29.19,27.09,0.0,95.49,11.76,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,20,0,0,300,561.7,27.09,21.78,0.0,66.58,28.91,37.67,0,0.0,0,300,0.0,66.58,49.43,-11.759999999999998
Proposed_ShieldedQoE,bigbuckbunny,1,21,1,1,750,529.7,21.78,20.48,0.0,83.73,17.15,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,22,0,0,300,362.6,20.48,21.21,0.0,66.58,17.15,49.43,0,0.0,0,300,0.0,66.58,66.58,-17.15
