name,reward,reward_std,rebuffer,rebuffer_std,quality,quality_std,switches,switches_std
PPO_V2,13.187602030278166,19.592932175633077,1.5981812286664145,0.9731491869078656,0.5529515625000002,0.21998717199705492,0.4,0.48989794855663565
PPO_V1,-182.241851543223,412.0270390964055,20.89315780386167,39.49113629553664,0.7927900000000003,0.1398046089413723,0.9,0.30000000000000004
BBA,13.048692575937926,34.6650554720888,2.2994950717482863,3.070722076631826,0.7835629166666667,0.08211157077384347,18.85,10.748371969745
Random,-4109.040944148902,5576.785819604641,410.93355100900226,555.746781354331,0.7844104166666667,0.030525635970260902,41.0,2.898275349237888
