Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.609,66.58,0.0,63.96
Proposed,bigbuckbunny,0,1,1,750,892.4,4.0,5.12,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,2,1,750,941.8,5.12,6.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,3,1,750,463.6,6.12,4.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,4,0,300,1052.0,4.49,6.16,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,0,5,0,300,355.7,6.16,5.2,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,6,0,300,952.1,5.2,8.2,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,0,7,1,750,1023.8,8.2,9.75,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,8,1,750,960.6,9.75,7.61,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,9,1,750,955.9,7.61,8.9,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,10,1,750,880.2,8.9,9.92,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,11,1,750,1063.0,9.92,11.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,12,1,750,934.7,11.88,12.63,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,13,2,1200,994.6,12.63,14.7,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,14,3,1850,1000.9,14.7,14.53,0.0,95.49,5.15,90.34
Proposed,bigbuckbunny,0,15,3,1850,858.9,14.53,13.44,0.0,95.49,0.0,95.49
Proposed,bigbuckbunny,0,16,2,1200,1103.0,13.44,12.01,0.0,90.34,5.15,85.19
Proposed,bigbuckbunny,0,17,2,1200,966.8,12.01,13.38,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,18,2,1200,810.4,13.38,12.17,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,19,2,1200,971.9,12.17,12.97,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,20,1,750,704.0,12.97,9.02,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,21,1,750,1036.7,9.02,10.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,22,1,750,1087.5,10.01,10.58,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,23,1,750,1111.3,10.58,12.24,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,24,1,750,1138.6,12.24,11.02,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,25,2,1200,1073.9,11.02,11.63,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,26,2,1200,1065.4,11.63,12.41,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,27,2,1200,984.5,12.41,10.95,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,28,1,750,824.4,10.95,7.42,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,29,1,750,1037.6,7.42,8.44,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,30,1,750,1055.3,8.44,10.52,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,31,2,1200,1126.0,10.52,11.6,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,32,2,1200,892.4,11.6,9.69,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,33,2,1200,941.8,9.69,11.52,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,34,2,1200,463.6,11.52,8.58,0.0,90.34,0.0,90.34
Proposed,bigbuckbunny,0,35,1,750,1052.0,8.58,10.67,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,36,1,750,355.7,10.67,5.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,37,1,750,952.1,5.5,6.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,38,1,750,1023.8,6.86,9.47,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,39,1,750,960.6,9.47,10.89,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,40,1,750,955.9,10.89,10.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,41,1,750,880.2,10.43,10.79,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,42,1,750,1063.0,10.79,11.2,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,43,1,750,934.7,11.2,12.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,44,1,750,994.6,12.36,9.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,45,1,750,1000.9,9.86,11.22,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,46,1,750,858.9,11.22,12.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,47,1,750,1103.0,12.56,13.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,0,0,300,587.0,2.88,4.0,0.544,66.58,0.0,64.24
Proposed,bigbuckbunny,1,1,0,300,787.1,4.0,6.69,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,2,1,750,677.6,6.69,6.52,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,3,1,750,650.6,6.52,6.51,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,4,0,300,725.7,6.51,7.13,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,1,5,1,750,824.8,7.13,5.79,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,6,1,750,252.3,5.79,4.0,3.715,83.73,0.0,67.75
Proposed,bigbuckbunny,1,7,0,300,761.1,4.0,6.68,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,1,8,0,300,502.5,6.68,5.99,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,1,9,1,750,618.3,5.99,5.8,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,1,10,1,750,583.5,5.8,5.3,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,11,1,750,488.0,5.3,4.87,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,12,1,750,778.7,4.87,4.97,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,13,1,750,653.2,4.97,7.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,14,1,750,587.3,7.13,8.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,15,1,750,472.8,8.25,8.5,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,16,1,750,790.7,8.5,7.77,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,17,1,750,576.4,7.77,9.01,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,18,1,750,793.4,9.01,9.68,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,19,1,750,446.8,9.68,9.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,1,20,0,300,561.7,9.32,9.34,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,1,21,1,750,529.7,9.34,7.44,0.0,83.73,17.15,66.58
