Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,1,4,1,1,750,725.7,6.08,4.0,0.032,83.73,0.0,83.59,0,0.0
Proposed,bigbuckbunny,1,5,1,1,750,824.8,4.0,5.8,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,6,1,1,750,252.3,5.8,4.0,2.241,83.73,0.0,74.09,0,0.0
Proposed,bigbuckbunny,1,7,0,0,300,761.1,4.0,6.83,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,8,1,1,750,502.5,6.83,4.16,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,9,1,1,750,618.3,4.16,4.87,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,10,1,1,750,583.5,4.87,6.59,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,11,1,1,750,488.0,6.59,7.4,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,12,1,1,750,778.7,7.4,5.78,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,13,1,1,750,653.2,5.78,6.09,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,14,1,1,750,587.3,6.09,4.61,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,1,15,1,1,750,472.8,4.61,4.0,1.978,83.73,0.0,75.23,0,0.0
Proposed,bigbuckbunny,1,16,0,0,300,790.7,4.0,5.08,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,1,17,1,1,750,576.4,5.08,5.51,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,1,18,1,1,750,793.4,5.51,4.0,0.058,83.73,0.0,83.48,0,0.0
