Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,2,2,1200,858.9,7.8,7.95,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,2,2,1200,1103.0,7.95,9.49,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,7.969,83.73,0.0,49.46,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.0,0.389,83.73,0.0,82.06,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,4.0,4.04,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,4.04,5.33,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,5.33,4.0,1.664,83.73,0.0,76.58,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,4.0,4.76,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,4.76,4.0,1.502,83.73,0.0,77.27,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,5.16,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,5.16,4.0,0.058,83.73,0.0,83.48,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,4.0,5.72,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,5.72,6.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,6.32,5.73,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,5.73,4.0,0.131,83.73,0.0,83.17,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,4.0,4.97,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,4.97,4.97,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,4.97,4.93,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,4.93,4.0,2.919,83.73,0.0,71.18,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,4.0,4.0,0.308,83.73,0.0,82.41,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,4.0,4.0,1.59,83.73,0.0,76.89,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,4.0,4.0,5.619,83.73,0.0,59.57,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,4.0,4.0,8.99,83.73,0.0,45.07,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,3.344,83.73,0.0,69.35,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,3.848,83.73,0.0,67.18,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,5.54,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,5.54,4.0,3.758,83.73,0.0,67.57,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.79,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.79,6.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,6.25,6.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,6.56,4.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.18,5.61,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,5.61,6.4,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,1,1,750,420.5,6.4,4.58,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,4.58,4.0,4.163,83.73,0.0,65.83,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.0,4.0,0.12,83.73,0.0,83.21,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,4.0,5.11,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,1,1,750,677.2,5.11,4.67,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,4.67,4.0,7.446,83.73,0.0,51.71,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,37,1,1,750,795.5,4.0,4.66,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,38,1,1,750,664.8,4.66,4.0,0.414,83.73,0.0,81.95,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,39,1,1,750,743.5,4.0,4.99,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,40,1,1,750,649.3,4.99,4.0,3.625,83.73,0.0,68.14,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.163,83.73,0.0,74.43,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.64,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,43,1,1,750,1001.1,4.64,5.84,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,44,1,1,750,505.3,5.84,4.0,2.108,83.73,0.0,74.66,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.06,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,46,1,1,750,594.1,4.06,4.58,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,47,1,1,750,930.5,4.58,6.75,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,4.408,83.73,0.0,64.78,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,1,1,1,750,892.4,4.0,4.13,0.0,83.73,0.0,83.73,0,0.0,
