Method,Video,Episode,VMAF,Rebuffer,QoE,Switch,AvgBitrate
Proposed,bigbuckbunny,0,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,bigbuckbunny,1,49.854166666666664,0.9802052314728027,2252.270387112194,8,0.0
Proposed,bigbuckbunny,2,51.770833333333336,1.3020833333312065,2283.4000000002657,17,0.0
Proposed,bigbuckbunny,3,47.458333333333336,7.19687689166002,1336.1297639208294,19,0.0
Proposed,bigbuckbunny,4,46.979166666666664,7.3128929542692385,1284.850959307199,25,0.0
Proposed,bigbuckbunny,5,58.0,0.43712797618988897,2727.1464285715015,1,0.0
Proposed,bigbuckbunny,6,53.208333333333336,3.539193665476349,2096.208630548552,7,0.0
Proposed,bigbuckbunny,7,56.5625,0.7626306128784986,2603.7236995127637,7,0.0
Proposed,bigbuckbunny,8,47.458333333333336,7.19687689166002,1336.1297639208294,19,0.0
Proposed,bigbuckbunny,9,53.208333333333336,2.217279398569381,2256.5835310585417,9,0.0
Proposed,bigbuckbunny,10,53.208333333333336,3.539193665476349,2096.208630548552,7,0.0
Proposed,bigbuckbunny,11,58.0,0.0,2781.7,1,0.0
Proposed,bigbuckbunny,12,58.0,0.25732730105712304,2749.585552828071,1,0.0
Proposed,bigbuckbunny,13,54.166666666666664,2.8645683456393733,2217.201870464206,11,0.0
Proposed,bigbuckbunny,14,58.0,0.6077743835984812,2705.8497569269093,1,0.0
Proposed,bigbuckbunny,15,46.5,5.585957330379465,1472.772525168643,27,0.0
Proposed,bigbuckbunny,16,58.0,0.0,2781.7,1,0.0
Proposed,bigbuckbunny,17,50.8125,0.316489493034035,2378.8021112693527,9,0.0
Proposed,bigbuckbunny,18,52.729166666666664,0.7584278342092858,2411.048206290681,11,0.0
Proposed,bigbuckbunny,19,53.208333333333336,1.9655257936385822,2292.602380953905,7,0.0
Proposed,bigbuckbunny,20,52.729166666666664,1.7766605121623011,2267.872768082145,18,0.0
Proposed,bigbuckbunny,21,46.979166666666664,7.3128929542692385,1284.850959307199,25,0.0
Proposed,bigbuckbunny,22,55.604166666666664,0.8159735728554699,2551.0664981076375,7,0.0
Proposed,bigbuckbunny,23,47.458333333333336,18.901041665884296,-126.8499999023602,20,0.0
Proposed,bigbuckbunny,24,58.0,0.580941258272185,2709.198530967631,1,0.0
Proposed,bigbuckbunny,25,57.520833333333336,0.08856957311643167,2745.3465172750693,2,0.0
Proposed,bigbuckbunny,26,55.604166666666664,0.8159735728554699,2551.0664981076375,7,0.0
Proposed,bigbuckbunny,27,58.0,0.580941258272185,2709.198530967631,1,0.0
Proposed,bigbuckbunny,28,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,bigbuckbunny,29,50.333333333333336,4.238107038393835,1838.7842416084495,21,0.0
Proposed,bigbuckbunny,30,50.333333333333336,4.238107038393835,1838.7842416084495,21,0.0
Proposed,bigbuckbunny,31,56.5625,0.7626306128784986,2603.7236995127637,7,0.0
Proposed,bigbuckbunny,32,58.0,0.25732730105712304,2749.585552828071,1,0.0
Proposed,bigbuckbunny,33,56.5625,0.6475391355829436,2618.087115879249,7,0.0
Proposed,bigbuckbunny,34,55.125,2.2791524825124436,2345.4617701824473,7,0.0
Proposed,bigbuckbunny,35,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,bigbuckbunny,36,57.041666666666664,0.6210293009235144,2648.9955432447455,5,0.0
Proposed,bigbuckbunny,37,54.166666666666664,2.8645683456393733,2217.201870464206,11,0.0
Proposed,bigbuckbunny,38,57.520833333333336,0.30291128504173515,2716.2966716267915,3,0.0
Proposed,bigbuckbunny,39,49.375,12.074165522819765,833.2441427520934,13,0.0
Proposed,bigbuckbunny,40,56.083333333333336,0.3397664210261791,2633.4971506559327,7,0.0
Proposed,bigbuckbunny,41,55.125,1.2078018607170913,2469.9663277825066,11,0.0
Proposed,bigbuckbunny,42,49.375,12.074165522819765,833.2441427520934,13,0.0
Proposed,bigbuckbunny,43,53.208333333333336,2.217279398569381,2256.5835310585417,9,0.0
