Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,0,0,0,300,1126.0,1.17,4.0,0.425,66.58,0.0,64.75
Proposed,bigbuckbunny,0,1,1,750,892.4,4.0,6.13,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,0,2,1,750,941.8,6.13,8.54,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,3,1,750,463.6,8.54,9.2,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,4,1,750,1052.0,9.2,9.94,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,5,2,1200,355.7,9.94,8.54,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,6,1,750,952.1,8.54,10.43,0.0,83.73,6.61,77.12
Proposed,bigbuckbunny,0,7,1,750,1023.8,10.43,12.37,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,8,1,750,960.6,12.37,11.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,9,1,750,955.9,11.86,13.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,10,1,750,880.2,13.12,14.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,11,1,750,1063.0,14.38,14.85,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,12,1,750,934.7,14.85,12.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,13,1,750,994.6,12.45,12.47,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,14,1,750,1000.9,12.47,12.74,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,15,1,750,858.9,12.74,11.87,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,16,1,750,1103.0,11.87,9.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,17,1,750,966.8,9.56,9.89,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,18,1,750,810.4,9.89,9.74,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,19,1,750,971.9,9.74,10.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,20,1,750,704.0,10.88,9.34,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,21,1,750,1036.7,9.34,11.42,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,0,22,2,1200,1087.5,11.42,13.21,0.0,90.34,6.61,83.73
Proposed,bigbuckbunny,0,23,3,1850,1111.3,13.21,13.47,0.0,95.49,5.15,90.34
Proposed,bigbuckbunny,0,24,2,1200,1138.6,13.47,13.26,0.0,90.34,5.15,85.19
Proposed,bigbuckbunny,0,25,2,1200,1073.9,13.26,14.89,0.0,90.34,0.0,90.34
