Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,0,46,2,2,1200,858.9,7.8,7.28,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,0,47,2,2,1200,1103.0,7.28,9.18,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,0,1,1,750,587.0,2.88,4.0,6.283,83.73,0.0,56.71,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,1,1,1,750,787.1,4.0,4.63,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,2,1,1,750,677.6,4.63,5.82,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,3,1,1,750,650.6,5.82,4.34,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,4,1,1,750,725.7,4.34,4.0,2.479,83.73,0.0,73.07,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,5,1,1,750,824.8,4.0,5.78,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,6,1,1,750,252.3,5.78,4.0,1.491,83.73,0.0,77.32,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,7,1,1,750,761.1,4.0,5.09,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,8,1,1,750,502.5,5.09,4.0,2.378,83.73,0.0,73.5,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,9,1,1,750,618.3,4.0,6.06,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,10,1,1,750,583.5,6.06,8.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,11,1,1,750,488.0,8.0,8.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,12,1,1,750,778.7,8.14,6.88,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,13,1,1,750,653.2,6.88,7.17,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,14,1,1,750,587.3,7.17,5.91,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,15,1,1,750,472.8,5.91,4.0,1.42,83.73,0.0,77.62,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,16,1,1,750,790.7,4.0,4.0,3.248,83.73,0.0,69.77,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,17,1,1,750,576.4,4.0,4.0,1.669,83.73,0.0,76.55,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,18,1,1,750,793.4,4.0,4.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,19,1,1,750,446.8,4.25,4.0,0.757,83.73,0.0,80.47,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,20,1,1,750,561.7,4.0,4.0,7.184,83.73,0.0,52.84,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,0.703,83.73,0.0,80.71,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,5.116,83.73,0.0,61.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,23,1,1,750,712.6,4.0,5.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,24,1,1,750,475.3,5.51,4.0,4.551,83.73,0.0,64.16,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.26,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,26,1,1,750,616.4,4.26,4.5,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,27,1,1,750,428.1,4.5,4.0,0.511,83.73,0.0,81.53,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,28,1,1,750,475.6,4.0,4.0,1.68,83.73,0.0,76.51,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,29,1,1,750,809.7,4.0,6.5,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,30,1,1,750,699.9,6.5,8.02,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,31,2,2,1200,420.5,8.02,7.46,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,32,1,1,750,473.9,7.46,4.25,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,33,1,1,750,654.6,4.25,5.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,34,1,1,750,689.7,5.19,5.03,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,35,1,1,750,677.2,5.03,5.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,1,36,1,1,750,444.9,5.32,4.0,6.036,83.73,0.0,57.77,0,0.0,
