step,mean_action,action_distribution,action_variance,action_entropy
40000,1.38,0.375;0.250;0.125;0.125;0.125;0.000,1.98,1.494
80000,3.62,0.000;0.000;0.000;0.500;0.375;0.125,0.48,0.974
120000,2.12,0.125;0.250;0.375;0.000;0.125;0.125,2.36,1.494
160000,3.00,0.125;0.000;0.250;0.250;0.125;0.250,2.50,1.560
200000,2.38,0.125;0.125;0.250;0.250;0.250;0.000,1.73,1.560
240000,1.38,0.375;0.250;0.250;0.000;0.000;0.125,2.48,1.321
280000,2.50,0.125;0.250;0.125;0.250;0.000;0.250,3.00,1.560
320000,2.00,0.250;0.125;0.375;0.000;0.125;0.125,2.75,1.494
360000,1.25,0.250;0.500;0.125;0.000;0.125;0.000,1.44,1.213
400000,2.38,0.250;0.125;0.250;0.000;0.125;0.250,3.73,1.560
440000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
480000,0.75,0.500;0.375;0.000;0.125;0.000;0.000,0.94,0.974
520000,1.38,0.375;0.250;0.125;0.125;0.125;0.000,1.98,1.494
560000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
600000,0.88,0.625;0.125;0.125;0.000;0.125;0.000,1.86,1.074
640000,1.00,0.500;0.125;0.250;0.125;0.000;0.000,1.25,1.213
680000,1.50,0.375;0.250;0.125;0.125;0.000;0.125,2.75,1.494
720000,1.38,0.375;0.250;0.250;0.000;0.000;0.125,2.48,1.321
760000,1.00,0.500;0.250;0.125;0.000;0.125;0.000,1.75,1.213
800000,1.12,0.500;0.250;0.125;0.000;0.000;0.125,2.61,1.213
840000,0.75,0.750;0.000;0.125;0.000;0.125;0.000,1.94,0.736
880000,2.00,0.250;0.125;0.125;0.375;0.125;0.000,2.00,1.494
920000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
960000,1.25,0.500;0.125;0.125;0.125;0.125;0.000,2.19,1.386
1000000,1.12,0.375;0.375;0.000;0.250;0.000;0.000,1.36,1.082
