step,mean_action,action_distribution,action_variance,action_entropy
40000,2.50,0.250;0.125;0.125;0.125;0.125;0.250,3.75,1.733
80000,2.12,0.375;0.000;0.125;0.250;0.125;0.125,3.36,1.494
120000,2.50,0.125;0.375;0.000;0.125;0.125;0.250,3.50,1.494
160000,3.50,0.000;0.125;0.125;0.125;0.375;0.250,1.75,1.494
200000,2.38,0.125;0.125;0.375;0.125;0.125;0.125,2.23,1.667
240000,2.00,0.250;0.125;0.250;0.250;0.000;0.125,2.50,1.560
280000,3.00,0.250;0.000;0.000;0.250;0.250;0.250,3.50,1.386
320000,1.75,0.375;0.125;0.125;0.250;0.000;0.125,2.94,1.494
360000,1.12,0.375;0.375;0.125;0.000;0.125;0.000,1.61,1.255
400000,2.38,0.125;0.000;0.375;0.375;0.125;0.000,1.23,1.255
440000,2.12,0.250;0.125;0.125;0.375;0.000;0.125,2.61,1.494
480000,3.00,0.000;0.250;0.125;0.250;0.125;0.250,2.25,1.560
520000,3.25,0.000;0.125;0.250;0.000;0.500;0.125,1.69,1.213
560000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
600000,1.75,0.375;0.125;0.250;0.000;0.125;0.125,3.19,1.494
640000,2.00,0.250;0.375;0.000;0.125;0.000;0.250,3.75,1.321
680000,2.75,0.000;0.375;0.125;0.000;0.375;0.125,2.44,1.255
720000,2.25,0.000;0.250;0.500;0.125;0.000;0.125,1.44,1.213
760000,2.75,0.125;0.125;0.125;0.125;0.500;0.000,2.19,1.386
800000,1.00,0.125;0.750;0.125;0.000;0.000;0.000,0.25,0.736
840000,1.88,0.250;0.125;0.375;0.125;0.000;0.125,2.36,1.494
880000,1.38,0.125;0.625;0.125;0.000;0.125;0.000,1.23,1.074
920000,2.38,0.000;0.250;0.250;0.375;0.125;0.000,0.98,1.321
960000,1.38,0.625;0.000;0.000;0.125;0.250;0.000,3.23,0.900
1000000,2.75,0.250;0.125;0.000;0.250;0.000;0.375,4.19,1.321
