Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
shield_off,80,3273.52,2945.29,3578.66,71.71,14.4,11.71,17.03,6.58,0.0
lookahead_h5_mb1.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h2_mb0.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h3_mb0.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
shield_legacy,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h3_mb1.0,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h3_mb1.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h5_mb0.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h2_mb1.5,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h5_mb1.0,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h3_mb1.0_ts1.00,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h3_mb1.0_ts0.95,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h5_mb1.0_ts1.00,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h5_mb1.0_ts0.95,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
shield_legacy_riskgate,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
lookahead_h2_mb1.0,80,3222.71,2894.04,3524.26,70.62,4.92,3.9,5.95,11.74,8.26
vmaf_aware_tol1.5_bud04,80,3222.54,2893.87,3524.09,70.62,4.89,3.89,5.92,11.78,8.2
vmaf_aware_tol1.5_bud08,80,3222.54,2893.87,3524.09,70.62,4.89,3.89,5.92,11.78,8.2
vmaf_aware_tol1.5_bud12,80,3222.54,2893.87,3524.09,70.62,4.89,3.89,5.92,11.78,8.2
lookahead_h2_mb1.0_vmafFB,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
lookahead_h3_mb1.0_vmafFB,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_riskgate_tol1.2_bud08,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_riskgate_tol1.2_bud12,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_riskgate_tol1.0_bud12,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_riskgate_tol1.0_bud08,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.2_bud12,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.2_bud08,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.2_bud04,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.0_bud12,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.0_bud08,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol1.0_bud04,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol0.8_bud12,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol0.8_bud08,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
vmaf_aware_tol0.8_bud04,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
lookahead_h5_mb1.0_vmafFB,80,3220.86,2891.16,3522.3,70.61,4.84,3.85,5.86,11.91,8.2
