step,episode_count,avg_reward,avg_vmaf,avg_rebuffer_rate,episode_length
384,48,-7959.54,31.86,318.13,48
384,48,1834.34,88.26,144.03,48
384,48,2293.29,88.97,112.52,48
384,48,838.80,89.53,218.12,48
384,48,2368.97,92.36,126.49,48
384,48,2450.40,88.83,105.39,48
384,48,3428.50,90.39,40.76,48
384,48,-172.64,31.61,40.72,48
768,96,-4055.74,27.17,173.69,48
768,96,2078.07,88.98,127.73,48
768,96,3179.66,91.70,70.74,48
768,96,1261.83,87.71,177.18,48
768,96,2636.59,88.04,87.34,48
768,96,-1213.27,90.33,358.61,48
768,96,-7116.84,28.13,282.70,48
768,96,560.39,26.74,7.85,48
1152,144,509.55,30.85,13.46,48
1152,144,2486.62,88.65,101.92,48
1152,144,-199.54,88.23,282.77,48
1152,144,-42.86,27.97,33.10,48
1152,144,-7607.82,33.12,312.16,48
1152,144,641.39,89.16,224.68,48
1152,144,-10847.97,34.12,425.40,48
1152,144,-1429.80,90.01,372.31,48
1536,192,-11187.81,32.46,429.25,48
1536,192,1353.88,36.44,0.76,48
1536,192,3527.61,90.59,40.56,48
1536,192,-2873.82,29.15,131.97,48
1536,192,2772.44,89.47,83.73,48
1536,192,3770.78,91.79,27.03,48
1536,192,2045.15,87.61,123.08,48
1536,192,-129.27,91.16,288.13,48
1920,240,-7765.70,31.93,313.07,48
1920,240,3406.69,88.85,37.75,48
1920,240,-1088.68,33.46,76.64,48
1920,240,585.20,91.16,238.99,48
1920,240,3578.56,86.55,15.54,48
1920,240,502.70,88.89,234.10,48
1920,240,2148.48,90.47,136.95,48
1920,240,-355.37,25.41,38.91,48
2304,288,-507.74,26.21,41.65,48
2304,288,-125.15,88.93,277.50,48
2304,288,3132.57,88.96,56.41,48
2304,288,-1403.84,90.81,373.74,48
2304,288,-3696.71,35.17,172.78,48
2304,288,3859.95,89.43,12.22,48
2304,288,-10149.80,31.96,397.62,48
2304,288,3063.96,89.49,64.25,48
2688,336,2567.35,88.16,92.52,48
2688,336,-1362.95,29.16,77.35,48
2688,336,3038.15,86.95,53.63,48
2688,336,755.44,31.71,7.00,48
2688,336,-8967.02,32.45,354.81,48
2688,336,2466.88,86.20,90.88,48
2688,336,3480.40,86.97,23.45,48
2688,336,-729.90,87.76,315.97,48
3072,384,2391.80,88.36,106.70,48
3072,384,-3253.80,31.10,151.08,48
3072,384,2784.03,89.23,83.19,48
3072,384,2707.66,90.20,93.78,48
3072,384,3411.04,87.89,32.48,48
3072,384,3427.65,88.89,38.89,48
3072,384,-2143.50,31.45,111.80,48
3072,384,1293.68,90.94,191.13,48
3456,432,3656.73,86.97,19.82,48
3456,432,-1461.61,91.92,381.58,48
3456,432,270.16,30.04,22.83,48
3456,432,3341.69,85.57,28.62,48
3456,432,2710.97,89.52,90.30,48
3456,432,-9135.34,34.21,363.16,48
3456,432,1791.81,88.03,147.07,48
3456,432,-6166.15,32.47,253.82,48
3840,480,-634.30,90.30,321.26,48
3840,480,1548.41,87.76,158.19,48
3840,480,-1623.05,35.58,97.33,48
3840,480,-14412.89,29.64,552.40,48
3840,480,-3712.87,30.85,169.25,48
3840,480,-15907.05,30.91,596.77,48
3840,480,-1015.45,31.66,70.81,48
3840,480,2443.13,91.36,117.42,48
4224,528,-3219.54,27.50,141.27,48
4224,528,-4281.73,29.92,181.41,48
4224,528,3684.04,88.30,18.46,48
4224,528,3889.09,88.42,2.70,48
4224,528,3719.89,87.44,10.55,48
4224,528,-808.69,87.58,317.68,48
4224,528,2671.89,88.67,86.07,48
4224,528,3865.04,89.36,11.71,48
4608,576,3132.04,90.04,59.24,48
4608,576,2741.92,89.37,82.41,48
4608,576,-6407.81,90.53,708.02,48
4608,576,434.70,31.35,19.91,48
4608,576,268.80,31.42,25.19,48
4608,576,-566.58,87.63,302.62,48
4608,576,-4520.82,92.10,588.30,48
4608,576,1862.97,86.48,133.62,48
4992,624,3532.94,89.54,36.96,48
4992,624,3748.24,88.96,18.04,48
4992,624,468.92,91.83,250.62,48
4992,624,2713.03,87.46,79.79,48
4992,624,2958.68,89.50,70.65,48
4992,624,3332.32,93.89,67.17,48
4992,624,-327.87,92.47,306.85,48
4992,624,3394.13,88.31,35.72,48
5376,672,2851.51,87.06,71.34,48
5376,672,-1378.49,29.66,78.67,48
5376,672,3164.81,87.62,51.98,48
5376,672,3069.58,89.42,67.26,48
5376,672,-3350.59,29.00,151.61,48
5376,672,-4297.37,31.32,185.75,48
5376,672,1598.58,88.12,159.61,48
5376,672,2341.65,86.64,100.75,48
5760,720,2428.98,89.10,105.90,48
5760,720,2021.86,89.11,132.73,48
5760,720,-7680.86,36.09,318.48,48
5760,720,2337.90,88.07,107.60,48
5760,720,-485.84,89.00,304.69,48
5760,720,2885.91,87.30,66.53,48
5760,720,1532.46,89.34,165.79,48
5760,720,2599.94,91.39,103.60,48
6144,768,918.60,30.04,0.00,48
6144,768,-4291.07,90.05,561.39,48
6144,768,396.16,32.53,24.47,48
6144,768,-1303.42,91.33,367.38,48
6144,768,-3325.79,31.05,150.57,48
6144,768,-1837.55,33.04,103.07,48
6144,768,3798.10,88.10,7.31,48
6144,768,3024.12,89.55,69.32,48
6528,816,-302.30,91.39,299.48,48
6528,816,3388.91,89.07,42.39,48
6528,816,440.30,28.57,15.73,48
6528,816,518.03,88.34,233.85,48
6528,816,2802.67,88.84,78.93,48
6528,816,3132.85,86.81,48.30,48
6528,816,1608.95,90.02,163.70,48
6528,816,797.28,29.73,3.67,48
6912,864,-2448.66,29.54,121.07,48
6912,864,3995.11,91.51,14.44,48
6912,864,2734.63,89.47,86.96,48
6912,864,2199.94,90.07,129.38,48
6912,864,-1900.59,30.43,101.76,48
6912,864,109.14,88.97,264.12,48
6912,864,1982.66,89.32,133.89,48
6912,864,707.66,87.40,214.53,48
7296,912,-1688.54,27.27,89.72,48
7296,912,-699.13,34.01,67.79,48
7296,912,3786.39,88.53,11.66,48
7296,912,320.18,92.76,265.08,48
7296,912,2492.02,88.28,97.84,48
7296,912,-5312.22,32.23,225.78,48
7296,912,55.29,30.55,31.45,48
7296,912,3489.13,90.35,39.65,48
7680,960,3344.91,91.02,50.70,48
