step,mean_action,action_distribution,action_variance,action_entropy
40000,2.75,0.125;0.250;0.000;0.125;0.375;0.125,2.94,1.494
80000,2.12,0.125;0.250;0.375;0.000;0.125;0.125,2.36,1.494
120000,2.88,0.000;0.250;0.250;0.125;0.125;0.250,2.36,1.560
160000,2.38,0.125;0.125;0.125;0.500;0.125;0.000,1.48,1.386
200000,2.25,0.250;0.000;0.125;0.500;0.125;0.000,1.94,1.213
240000,1.25,0.250;0.250;0.500;0.000;0.000;0.000,0.69,1.040
280000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
320000,1.38,0.125;0.500;0.250;0.125;0.000;0.000,0.73,1.213
360000,1.50,0.250;0.375;0.000;0.375;0.000;0.000,1.50,1.082
400000,1.38,0.375;0.375;0.000;0.125;0.000;0.125,2.73,1.255
440000,2.25,0.125;0.375;0.125;0.125;0.000;0.250,3.19,1.494
480000,1.75,0.125;0.500;0.125;0.125;0.000;0.125,2.19,1.386
520000,1.00,0.375;0.250;0.375;0.000;0.000;0.000,0.75,1.082
560000,1.00,0.125;0.750;0.125;0.000;0.000;0.000,0.25,0.736
600000,2.00,0.000;0.500;0.250;0.125;0.000;0.125,1.75,1.213
640000,1.88,0.375;0.125;0.250;0.000;0.000;0.250,3.86,1.321
680000,1.38,0.375;0.250;0.000;0.375;0.000;0.000,1.73,1.082
720000,2.25,0.125;0.250;0.000;0.500;0.125;0.000,1.69,1.213
760000,2.00,0.125;0.250;0.125;0.500;0.000;0.000,1.25,1.213
800000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
840000,1.88,0.125;0.250;0.250;0.375;0.000;0.000,1.11,1.321
880000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
920000,2.12,0.250;0.000;0.375;0.125;0.250;0.000,2.11,1.321
960000,0.62,0.375;0.625;0.000;0.000;0.000;0.000,0.23,0.662
1000000,1.00,0.500;0.125;0.250;0.125;0.000;0.000,1.25,1.213
