step,mean_action,action_distribution,action_variance,action_entropy
40000,1.88,0.125;0.250;0.250;0.375;0.000;0.000,1.11,1.321
80000,1.88,0.250;0.250;0.250;0.000;0.125;0.125,2.86,1.560
120000,2.25,0.375;0.000;0.250;0.000;0.125;0.250,4.19,1.321
160000,2.38,0.250;0.125;0.125;0.125;0.250;0.125,3.23,1.733
200000,2.12,0.125;0.375;0.125;0.125;0.125;0.125,2.61,1.667
240000,1.38,0.250;0.375;0.250;0.000;0.125;0.000,1.48,1.321
280000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
320000,0.88,0.125;0.875;0.000;0.000;0.000;0.000,0.11,0.377
360000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
400000,1.25,0.125;0.625;0.125;0.125;0.000;0.000,0.69,1.074
440000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
480000,1.62,0.250;0.125;0.375;0.250;0.000;0.000,1.23,1.321
520000,1.38,0.250;0.375;0.125;0.250;0.000;0.000,1.23,1.321
560000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
600000,1.62,0.000;0.625;0.250;0.000;0.125;0.000,0.98,0.900
640000,1.75,0.125;0.250;0.500;0.000;0.125;0.000,1.19,1.213
680000,1.00,0.375;0.250;0.375;0.000;0.000;0.000,0.75,1.082
720000,1.50,0.000;0.500;0.500;0.000;0.000;0.000,0.25,0.693
760000,1.25,0.375;0.250;0.125;0.250;0.000;0.000,1.44,1.321
800000,0.62,0.500;0.375;0.125;0.000;0.000;0.000,0.48,0.974
840000,0.75,0.500;0.250;0.250;0.000;0.000;0.000,0.69,1.040
880000,1.12,0.375;0.375;0.125;0.000;0.125;0.000,1.61,1.255
920000,1.50,0.250;0.125;0.500;0.125;0.000;0.000,1.00,1.213
960000,0.75,0.500;0.375;0.000;0.125;0.000;0.000,0.94,0.974
1000000,1.38,0.125;0.625;0.125;0.000;0.125;0.000,1.23,1.074
