arm,episode,rebuffer_total,rebuffer_p95_chunk,rebuffer_p99_chunk,stallfree,vmaf_mean,bitrate_mean_kbps,buffer_mean,interv_rate,conformal_coverage
raw,0,107.73935252997178,19.92967551112567,35.126879463951916,0.0,97.71,6000.0,8.932403515031497,0.0,nan
raw,1,71.42754678636406,6.848361571446908,29.416051551470424,0.0,98.49,6000.0,8.815545862116105,0.0,nan
raw,2,112.02750275970024,21.67515359012625,26.76606051953619,0.0,62.0,6000.0,8.385031561877225,0.0,nan
raw,3,67.12311202846573,3.7572365818079594,30.050983060665583,0.0,97.14,6000.0,8.243542949447379,0.0,nan
raw,4,96.44717509643789,12.191325298705408,34.451298115595606,0.0,62.0,6000.0,8.366310234933714,0.0,nan
raw,5,110.52926438135778,19.268539971668776,28.468809434339395,0.0,97.14,6000.0,8.593647478015034,0.0,nan
raw,6,51.3283832746933,4.4245892987689075,18.98080563329726,0.0,62.0,6000.0,8.007554735062882,0.0,nan
raw,7,108.99565030079434,7.501634918861545,47.967348540473964,0.0,97.71,6000.0,9.37906769655221,0.0,nan
raw,8,86.42995078989757,9.236008673773348,34.80329124973881,0.0,97.14,6000.0,8.738054426388741,0.0,nan
raw,9,107.89047953210846,19.723099127009302,27.945987277716014,0.0,62.0,6000.0,8.401128167835926,0.0,nan
raw,10,102.94023051298096,16.572053987905832,28.98409864931628,0.0,62.0,6000.0,8.443774033382605,0.0,nan
raw,11,110.60213771721446,11.280315014773919,43.08114801192205,0.0,97.14,6000.0,7.655602432105254,0.0,nan
raw,12,72.4766906733272,7.786994006961278,26.842794844865885,0.0,62.0,6000.0,8.023527610298403,0.0,nan
raw,13,54.38747637904949,8.344907447893103,17.74556963459945,0.0,97.71,6000.0,8.306273704013078,0.0,nan
raw,14,83.30491170649479,14.253516238825469,20.717279322757715,0.0,62.0,6000.0,8.471977646481436,0.0,nan
raw,15,105.84083561856573,12.170646691899485,41.2401308650031,0.0,62.0,6000.0,8.207740144562225,0.0,nan
raw,16,124.5960490259346,11.344832563308103,50.16520468106331,0.0,62.0,6000.0,8.32138091263158,0.0,nan
raw,17,86.20316723468227,8.607162128473052,35.11083042369977,0.0,98.49,6000.0,8.955317107118441,0.0,nan
raw,18,104.0599053481401,12.917627629371061,40.40201481366153,0.0,98.49,6000.0,8.680493758754155,0.0,nan
raw,19,70.65249080082313,3.4316283550773425,31.48394458711777,0.0,97.14,6000.0,8.356899466642746,0.0,nan
raw,20,109.79870540668892,6.748143437587442,48.0,0.0,98.49,6000.0,8.682605818045557,0.0,nan
raw,21,86.91583045084914,5.174245219156313,37.580370017328946,0.0,97.71,6000.0,8.82756620757121,0.0,nan
raw,22,45.84643207398454,4.758672565657674,18.646846008164736,0.0,98.49,6000.0,8.15482778320275,0.0,nan
raw,23,59.97209151797419,10.842465571295383,17.33862725211213,0.0,97.14,6000.0,7.830699448733394,0.0,nan
raw,24,52.184643609135065,4.600232561802984,18.98080563329726,0.0,62.0,6000.0,8.007554735062882,0.0,nan
raw,25,119.6641143985706,17.02597154224215,32.84740650884027,0.0,62.0,6000.0,8.348458070374834,0.0,nan
raw,26,110.93694652078057,21.57651764546786,30.300082768085172,0.0,62.0,6000.0,8.430348219103104,0.0,nan
raw,27,99.33945129617726,16.688643361497505,31.640331589092952,0.0,62.0,6000.0,8.453822331836548,0.0,nan
raw,28,137.65947808591417,18.493611841743114,41.99199351838758,0.0,62.0,6000.0,7.998414788739694,0.0,nan
raw,29,119.17929283004821,17.02597154224215,32.84740650884027,0.0,62.0,6000.0,8.348458070374834,0.0,nan
raw,30,129.5162995957404,14.110007875504696,51.240683612340774,0.0,97.14,6000.0,7.925114070844167,0.0,nan
raw,31,44.49463464987748,8.166625442511583,13.246618836989285,0.0,98.49,6000.0,8.000472702819474,0.0,nan
raw,32,90.52149995474454,3.761046012936417,40.91548177104218,0.0,97.14,6000.0,7.564860829680434,0.0,nan
raw,33,119.05413937283427,17.02597154224215,32.84740650884027,0.0,62.0,6000.0,8.348458070374834,0.0,nan
raw,34,70.22532448027086,12.347679509505515,22.657506175954072,0.0,62.0,6000.0,8.001997541038035,0.0,nan
raw,35,46.718822718765416,7.820109596768593,15.373552481374148,0.0,97.71,6000.0,8.249714097491841,0.0,nan
raw,36,110.00814154821366,11.280315014773919,43.08114801192205,0.0,97.14,6000.0,7.655602432105254,0.0,nan
raw,37,61.4641911406506,10.842465571295383,17.33862725211213,0.0,97.14,6000.0,7.830699448733394,0.0,nan
raw,38,61.99053553354986,10.842465571295383,17.33862725211213,0.0,97.14,6000.0,7.830699448733394,0.0,nan
raw,39,95.86865471347042,6.353824938510779,42.469096839349305,0.0,62.0,6000.0,8.14851504966843,0.0,nan
raw,40,81.61676408666514,7.009394956409996,31.689030104929785,0.0,97.14,6000.0,8.080843834815338,0.0,nan
raw,41,87.08997042679584,8.607162128473052,35.11083042369977,0.0,98.49,6000.0,8.941778209312123,0.0,nan
raw,42,52.582464092612994,6.361389909408501,20.74816596403375,0.0,98.49,6000.0,8.332321651583642,0.0,nan
raw,43,112.16957930723191,21.57651764546786,30.300082768085172,0.0,62.0,6000.0,8.430348219103104,0.0,nan
raw,44,84.14662306605669,13.390613679235766,29.47303164656421,0.0,97.14,6000.0,8.461244879420812,0.0,nan
raw,45,129.41347228965122,22.21012137081225,31.843705269822486,0.0,62.0,6000.0,8.277419098876038,0.0,nan
raw,46,108.6689946612887,5.45332070239544,49.161280344736745,0.0,97.71,6000.0,8.94391759584362,0.0,nan
raw,47,98.66047847245599,19.010743774644983,31.553629189384978,0.0,97.71,6000.0,8.754705372468317,0.0,nan
raw,48,124.98134689710704,21.2037813374954,35.68858628425623,0.0,62.0,6000.0,8.375768627124438,0.0,nan
raw,49,103.67523880311339,9.660022014883095,42.53381268044148,0.0,98.49,6000.0,8.716936330394278,0.0,nan
raw,50,85.90536623469082,14.552982052381985,26.649781552842043,0.0,97.14,6000.0,8.021431518096627,0.0,nan
raw,51,97.63975164197595,6.813901974444698,42.00383073414052,0.0,97.71,6000.0,8.860553344972429,0.0,nan
raw,52,81.04450398127781,14.101892177071797,26.21804831671139,0.0,62.0,6000.0,7.760960520940237,0.0,nan
raw,53,91.5783140591639,10.42049519105895,32.89458221727635,0.0,97.14,6000.0,8.035782334134948,0.0,nan
raw,54,108.89212947983721,16.58806952403425,34.514321003298456,0.0,97.14,6000.0,8.622099180703428,0.0,nan
raw,55,83.37994388059843,3.9667928819048504,37.33214938079813,0.0,97.14,6000.0,8.433481050270759,0.0,nan
raw,56,112.05010317065621,7.364619137933911,49.491735891277685,0.0,62.0,6000.0,8.610931375537895,0.0,nan
raw,57,113.12072182042671,14.31211611360061,38.835889775569015,0.0,98.49,6000.0,8.078906947612301,0.0,nan
raw,58,107.93794044154485,15.416358206621501,35.727402879615276,0.0,98.49,6000.0,8.189133132973245,0.0,nan
raw,59,95.1355857008386,9.542981661309069,34.324754737658715,0.0,62.0,6000.0,8.550971091417916,0.0,nan
raw,60,50.819863013107,9.79136125202307,15.642484388491024,0.0,97.71,6000.0,8.193649485291523,0.0,nan
raw,61,70.09274358225262,6.848361571446908,29.416051551470424,0.0,98.49,6000.0,8.815545862116105,0.0,nan
raw,62,51.69036550206915,5.943976543802393,20.506018999885008,0.0,98.49,6000.0,8.777479665720227,0.0,nan
raw,63,83.75405809062616,13.567254439940227,27.726836608274915,0.0,97.14,6000.0,8.002517897035338,0.0,nan
raw,64,103.96422949278792,9.660022014883095,42.53381268044148,0.0,98.49,6000.0,8.716936330394278,0.0,nan
raw,65,79.48923766639362,9.545057399347407,32.24927561908382,0.0,98.49,6000.0,8.66434136651761,0.0,nan
raw,66,102.90926574173115,13.485201037920815,37.297966928059466,0.0,98.49,6000.0,8.167327660407148,0.0,nan
raw,67,119.81409260992824,21.705324856472274,39.29255588257699,0.0,97.71,6000.0,8.736911433155486,0.0,nan
raw,68,66.52310167603875,10.36353866873617,22.094091739788194,0.0,97.71,6000.0,8.386637467385858,0.0,nan
raw,69,68.3223265600898,12.347679509505515,22.657506175954072,0.0,62.0,6000.0,8.001997541038035,0.0,nan
raw,70,144.89318332566998,30.267967489618297,43.948684261842466,0.0,97.71,6000.0,8.682989690692184,0.0,nan
raw,71,103.15018811196316,5.782930598701658,45.03292554464471,0.0,62.0,6000.0,8.380485820477135,0.0,nan
