step,mean_action,action_distribution,action_variance,action_entropy
2840000,2.38,0.125;0.125;0.250;0.250;0.250;0.000,1.73,1.560
2880000,2.00,0.125;0.250;0.250;0.250;0.125;0.000,1.50,1.560
2920000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
2960000,2.75,0.000;0.250;0.125;0.250;0.375;0.000,1.44,1.321
3000000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
3040000,2.88,0.250;0.000;0.000;0.250;0.375;0.125,3.11,1.321
3080000,2.00,0.125;0.250;0.375;0.000;0.250;0.000,1.75,1.321
3120000,1.88,0.125;0.375;0.250;0.000;0.250;0.000,1.86,1.321
3160000,1.75,0.000;0.375;0.500;0.125;0.000;0.000,0.44,0.974
3200000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
3240000,2.12,0.000;0.375;0.250;0.250;0.125;0.000,1.11,1.321
3280000,1.50,0.375;0.250;0.000;0.250;0.125;0.000,2.25,1.321
3320000,2.25,0.000;0.125;0.625;0.125;0.125;0.000,0.69,1.074
3360000,2.25,0.250;0.000;0.250;0.250;0.250;0.000,2.19,1.386
3400000,2.00,0.125;0.125;0.500;0.125;0.125;0.000,1.25,1.386
3440000,2.50,0.125;0.125;0.125;0.375;0.250;0.000,1.75,1.494
3480000,1.75,0.250;0.250;0.125;0.250;0.125;0.000,1.94,1.560
3520000,1.62,0.375;0.125;0.125;0.250;0.125;0.000,2.23,1.494
3560000,1.75,0.375;0.250;0.000;0.125;0.125;0.125,3.44,1.494
3600000,2.25,0.125;0.125;0.375;0.125;0.250;0.000,1.69,1.494
3640000,1.88,0.000;0.375;0.375;0.250;0.000;0.000,0.61,1.082
3680000,1.38,0.375;0.250;0.250;0.000;0.000;0.125,2.48,1.321
3720000,2.25,0.125;0.375;0.000;0.125;0.375;0.000,2.44,1.255
3760000,1.62,0.000;0.625;0.250;0.000;0.125;0.000,0.98,0.900
3800000,2.38,0.000;0.250;0.375;0.250;0.000;0.125,1.48,1.321
3840000,1.88,0.125;0.375;0.250;0.125;0.000;0.125,2.11,1.494
3880000,1.88,0.250;0.000;0.500;0.125;0.125;0.000,1.61,1.213
3920000,1.88,0.125;0.375;0.250;0.000;0.250;0.000,1.86,1.321
3960000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
4000000,1.12,0.250;0.500;0.125;0.125;0.000;0.000,0.86,1.213
4040000,1.75,0.250;0.125;0.375;0.125;0.125;0.000,1.69,1.494
4080000,1.88,0.125;0.375;0.250;0.125;0.000;0.125,2.11,1.494
4120000,1.12,0.125;0.625;0.250;0.000;0.000;0.000,0.36,0.900
4160000,1.25,0.375;0.250;0.250;0.000;0.125;0.000,1.69,1.321
4200000,2.38,0.000;0.250;0.375;0.250;0.000;0.125,1.48,1.321
4240000,1.62,0.000;0.625;0.125;0.250;0.000;0.000,0.73,0.900
4280000,1.25,0.375;0.375;0.125;0.000;0.000;0.125,2.44,1.255
4320000,1.38,0.125;0.500;0.250;0.125;0.000;0.000,0.73,1.213
4360000,1.25,0.250;0.500;0.125;0.000;0.125;0.000,1.44,1.213
4400000,3.00,0.000;0.000;0.500;0.000;0.500;0.000,1.00,0.693
4440000,2.00,0.125;0.250;0.375;0.125;0.000;0.125,2.00,1.494
4480000,1.88,0.250;0.250;0.125;0.250;0.000;0.125,2.61,1.560
4520000,2.25,0.125;0.375;0.000;0.125;0.375;0.000,2.44,1.255
4560000,2.38,0.000;0.375;0.250;0.000;0.375;0.000,1.73,1.082
4600000,1.00,0.250;0.500;0.250;0.000;0.000;0.000,0.50,1.040
4640000,3.62,0.000;0.125;0.000;0.125;0.625;0.125,1.23,1.074
4680000,2.50,0.000;0.375;0.125;0.125;0.375;0.000,1.75,1.255
4720000,1.75,0.000;0.625;0.125;0.125;0.125;0.000,1.19,1.074
4760000,2.62,0.000;0.125;0.375;0.250;0.250;0.000,0.98,1.321
4800000,1.62,0.125;0.250;0.500;0.125;0.000;0.000,0.73,1.213
4840000,1.62,0.125;0.375;0.375;0.000;0.125;0.000,1.23,1.255
4880000,2.38,0.125;0.125;0.375;0.000;0.375;0.000,1.98,1.255
4920000,2.00,0.125;0.500;0.000;0.125;0.125;0.125,2.75,1.386
4960000,2.38,0.250;0.125;0.125;0.125;0.250;0.125,3.23,1.733
5000000,2.62,0.125;0.250;0.125;0.125;0.125;0.250,3.23,1.733
5040000,2.50,0.000;0.250;0.250;0.250;0.250;0.000,1.25,1.386
5080000,1.88,0.000;0.500;0.250;0.125;0.125;0.000,1.11,1.213
5120000,1.50,0.125;0.625;0.125;0.000;0.000;0.125,2.00,1.074
5160000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
5200000,2.25,0.125;0.250;0.125;0.250;0.250;0.000,1.94,1.560
5240000,3.25,0.000;0.000;0.125;0.500;0.375;0.000,0.44,0.974
5280000,2.38,0.125;0.375;0.000;0.125;0.250;0.125,2.98,1.494
5320000,1.38,0.250;0.375;0.250;0.000;0.125;0.000,1.48,1.321
5360000,3.12,0.125;0.125;0.000;0.125;0.500;0.125,2.61,1.386
5400000,1.88,0.125;0.500;0.000;0.125;0.250;0.000,2.11,1.213
5440000,2.00,0.125;0.500;0.000;0.125;0.125;0.125,2.75,1.386
5480000,2.88,0.000;0.000;0.250;0.625;0.125;0.000,0.36,0.900
5520000,2.38,0.125;0.000;0.375;0.375;0.125;0.000,1.23,1.255
5560000,2.62,0.000;0.125;0.375;0.250;0.250;0.000,0.98,1.321
5600000,1.75,0.250;0.250;0.125;0.250;0.125;0.000,1.94,1.560
5640000,1.88,0.250;0.125;0.250;0.250;0.125;0.000,1.86,1.560
5680000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
5720000,2.88,0.000;0.250;0.250;0.000;0.375;0.125,2.11,1.321
5760000,2.38,0.000;0.125;0.375;0.500;0.000;0.000,0.48,0.974
5800000,3.00,0.125;0.125;0.000;0.125;0.625;0.000,2.25,1.074
5840000,1.50,0.125;0.625;0.000;0.125;0.125;0.000,1.50,1.074
5880000,1.25,0.500;0.125;0.125;0.125;0.125;0.000,2.19,1.386
5920000,1.38,0.125;0.625;0.000;0.250;0.000;0.000,0.98,0.900
5960000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
6000000,1.50,0.250;0.500;0.000;0.000;0.250;0.000,2.25,1.040
6040000,1.25,0.125;0.500;0.375;0.000;0.000;0.000,0.44,0.974
6080000,2.12,0.000;0.500;0.125;0.125;0.250;0.000,1.61,1.213
6120000,1.75,0.250;0.125;0.375;0.125;0.125;0.000,1.69,1.494
6160000,1.62,0.250;0.125;0.375;0.250;0.000;0.000,1.23,1.321
