step,lambda_rebuf,lambda_smooth,recent_rebuf_ratio,recent_avg_smooth
40000,4.6196,1.5174,2.2459,4.32
80000,5.8766,2.5000,0.0191,16.27
120000,6.9490,2.5000,0.0119,5.89
160000,7.9161,2.5000,0.4604,10.26
200000,8.7262,2.5000,0.4646,8.21
240000,9.5482,2.5000,0.7963,8.82
280000,10.4138,2.5000,1.1693,9.47
320000,11.1126,2.5000,2.0797,5.27
360000,11.6732,2.5000,0.6668,4.41
400000,12.0000,2.5000,0.4309,6.24
440000,12.0000,2.5000,0.0201,4.07
480000,12.0000,2.5000,0.1201,6.73
520000,12.0000,2.5000,0.0000,2.94
560000,12.0000,2.5000,0.0090,7.79
600000,12.0000,2.5000,0.7022,2.60
640000,12.0000,2.5000,0.9569,3.91
680000,12.0000,2.5000,0.1188,2.84
720000,12.0000,2.5000,0.0898,3.75
760000,12.0000,2.5000,0.3536,8.70
800000,12.0000,2.5000,0.2598,6.95
840000,12.0000,2.5000,0.5155,4.91
880000,12.0000,2.5000,0.0052,6.63
920000,12.0000,2.5000,0.5158,4.15
960000,12.0000,2.5000,0.0222,7.32
1000000,12.0000,2.5000,0.6523,4.47
1040000,12.0000,2.5000,0.2098,4.52
1080000,12.0000,2.5000,0.0722,4.90
1120000,12.0000,2.5000,0.0099,9.62
1160000,12.0000,2.5000,0.2364,3.20
1200000,12.0000,2.5000,1.1268,7.92
1240000,12.0000,2.5000,0.6435,1.65
1280000,12.0000,2.5000,0.3797,5.47
1320000,12.0000,2.5000,0.2147,7.50
1360000,12.0000,2.5000,0.0755,1.29
1400000,12.0000,2.5000,0.1433,3.68
1440000,12.0000,2.5000,0.1344,1.95
1480000,12.0000,2.5000,0.2447,0.00
1520000,12.0000,2.5000,0.7210,7.34
1560000,12.0000,2.5000,0.2720,4.30
1600000,12.0000,2.5000,0.2545,4.73
1640000,12.0000,2.5000,0.2649,5.62
1680000,12.0000,2.5000,0.0147,5.96
1720000,12.0000,2.5000,0.3007,2.76
1760000,12.0000,2.5000,0.0296,3.50
1800000,12.0000,2.5000,0.2452,2.59
1840000,12.0000,2.5000,0.4330,2.27
1880000,12.0000,2.5000,0.5661,3.76
1920000,12.0000,2.5000,0.1932,2.98
1960000,12.0000,2.5000,0.3319,2.71
2000000,12.0000,2.5000,0.0000,6.04
2040000,12.0000,2.5000,0.1396,2.43
2080000,12.0000,2.5000,0.0608,3.85
2120000,12.0000,2.5000,0.1041,1.67
2160000,12.0000,2.5000,0.1091,4.60
2200000,12.0000,2.5000,0.0757,6.08
2240000,12.0000,2.5000,0.0000,3.05
2280000,12.0000,2.5000,0.0031,2.60
2320000,12.0000,2.5000,0.3005,3.48
2360000,12.0000,2.5000,0.0725,2.68
2400000,12.0000,2.5000,0.0505,5.50
2440000,12.0000,2.5000,0.2508,0.00
2480000,12.0000,2.5000,0.0140,4.75
2520000,12.0000,2.5000,0.0209,4.54
2560000,12.0000,2.5000,0.0000,0.73
2600000,12.0000,2.5000,0.0485,2.99
2640000,12.0000,2.5000,0.0730,3.90
2680000,12.0000,2.5000,0.0000,4.14
2720000,12.0000,2.5000,0.4142,3.95
2760000,12.0000,2.5000,0.0000,6.80
2800000,12.0000,2.5000,0.0449,1.29
2840000,12.0000,2.5000,0.1451,3.75
2880000,12.0000,2.5000,0.0534,2.25
2920000,12.0000,2.5000,0.0000,4.21
2960000,12.0000,2.5000,0.0000,4.00
3000000,12.0000,2.5000,0.0848,5.51
3040000,12.0000,2.5000,0.0000,1.76
3080000,12.0000,2.4334,0.0000,5.95
3120000,12.0000,2.3692,0.6445,0.00
3160000,12.0000,2.4049,0.0037,2.59
3200000,12.0000,2.3620,0.0000,6.74
3240000,12.0000,2.3822,0.2560,2.60
3280000,12.0000,2.3759,0.0182,5.35
3320000,12.0000,2.3802,0.1444,3.04
3360000,12.0000,2.3493,0.0265,4.86
3400000,12.0000,2.3393,0.0115,4.29
3440000,12.0000,2.3480,0.0348,6.18
3480000,12.0000,2.4134,0.0284,3.36
3520000,12.0000,2.3669,0.0175,3.83
3560000,12.0000,2.3805,0.0024,1.93
3600000,12.0000,2.3448,0.0000,3.61
3640000,12.0000,2.3700,1.1605,2.35
3680000,12.0000,2.3843,0.0762,3.46
3720000,12.0000,2.3672,0.0000,2.41
3760000,12.0000,2.3510,0.1571,2.10
3800000,12.0000,2.2939,0.0759,6.09
3840000,12.0000,2.3128,0.0874,3.52
3880000,12.0000,2.3181,0.0133,3.12
3920000,12.0000,2.3658,0.0000,2.54
3960000,12.0000,2.3842,0.0000,5.91
4000000,12.0000,2.3922,0.0187,2.75
4040000,12.0000,2.4168,0.1360,6.32
4080000,12.0000,2.4701,0.0010,3.17
4120000,12.0000,2.3925,0.1897,3.30
4160000,12.0000,2.3934,0.2140,3.02
4200000,12.0000,2.4844,0.1103,2.37
4240000,12.0000,2.5000,0.0936,4.06
4280000,12.0000,2.4425,0.0633,2.28
4320000,12.0000,2.4241,0.0766,3.35
4360000,12.0000,2.3628,0.0456,2.35
4400000,12.0000,2.3153,0.0115,1.45
4440000,12.0000,2.2434,0.0295,3.13
4480000,12.0000,2.2235,0.0000,0.74
4520000,12.0000,2.1107,0.0914,4.06
4560000,12.0000,2.0247,0.0000,5.72
4600000,12.0000,2.0384,0.0000,2.11
4640000,12.0000,2.0994,0.8031,4.46
4680000,12.0000,2.2213,0.0353,5.86
4720000,12.0000,2.2443,0.0180,2.65
4760000,12.0000,2.2841,0.0718,2.54
4800000,12.0000,2.3309,0.0000,1.27
4840000,12.0000,2.3831,0.0000,6.43
4880000,12.0000,2.5000,0.1040,3.38
4920000,12.0000,2.5000,0.0606,3.16
4960000,12.0000,2.5000,0.0052,5.21
5000000,12.0000,2.5000,0.3115,3.91
5040000,12.0000,2.5000,0.0127,2.58
5080000,12.0000,2.5000,0.0000,1.37
5120000,12.0000,2.5000,0.1179,4.47
5160000,12.0000,2.5000,0.0937,3.41
5200000,12.0000,2.4997,0.0580,5.30
5240000,12.0000,2.4799,0.0849,3.84
5280000,12.0000,2.4212,0.3429,5.81
5320000,12.0000,2.3025,0.4540,4.67
5360000,12.0000,2.1998,0.3115,2.97
5400000,12.0000,2.1802,0.0784,4.15
5440000,12.0000,2.2040,0.0825,2.68
5480000,12.0000,2.2131,0.0198,4.79
5520000,12.0000,2.2223,0.0273,5.33
5560000,12.0000,2.1822,0.0000,2.97
5600000,12.0000,2.1810,0.5575,1.07
5640000,12.0000,2.1588,0.1510,5.99
5680000,12.0000,2.0552,0.1652,3.45
5720000,12.0000,2.0017,0.0581,3.63
5760000,12.0000,1.9573,0.1760,4.80
5800000,12.0000,1.8924,0.0061,2.96
5840000,12.0000,1.8705,0.1864,4.88
5880000,12.0000,1.8960,0.0614,5.65
5920000,12.0000,1.9046,0.2395,3.31
5960000,12.0000,1.9803,0.0250,5.00
6000000,12.0000,2.0473,0.0116,5.32
6040000,12.0000,2.1442,0.0000,2.52
