episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,shield_active
0,0,tearsofsteel_short,1,750,4.0,527.22940984,4.690122637336221,86.63,47.46247265945425,1.0,0
0,1,tearsofsteel_short,1,750,4.0,319.96303501899996,5.376083083540744,86.63,63.2928427407748,1.0,0
0,2,tearsofsteel_short,1,750,4.0,387.006993007,3.7517979111703994,86.63,70.27726898196728,1.0,0
0,3,tearsofsteel_short,1,750,4.0,654.1505016719999,0.586100587452032,86.63,83.88976747395625,1.0,0
0,4,tearsofsteel_short,1,750,4.283529031561471,807.2173913040001,0.0,86.63,86.41567058063123,1.0,0
0,5,tearsofsteel_short,1,750,4.0,402.789660416,3.1645271000224646,86.63,72.8025334699034,1.0,0
0,6,tearsofsteel_short,1,750,4.0,467.30616996500004,2.4197740000408974,86.63,76.00497179982413,1.0,0
0,7,tearsofsteel_short,1,750,4.0,449.33333333300004,2.676557863506436,86.63,74.90080118692232,1.0,0
0,8,tearsofsteel_short,1,750,4.0,426.70017533600003,3.0306978375101092,86.63,73.37799929870653,1.0,0
0,9,tearsofsteel_short,1,750,4.0,606.445430346,0.9468589420953943,86.63,82.3385065489898,1.0,0
0,10,tearsofsteel_short,1,750,4.3370082004383494,819.0026525200001,0.0,86.63,86.41674016400876,1.0,0
0,11,tearsofsteel_short,1,750,4.0,356.126186202,4.086972164483077,86.63,68.83601969272277,1.0,0
0,12,tearsofsteel_short,1,750,4.0,535.4585725999999,1.6026743309627989,86.63,79.51850037685996,1.0,0
0,13,tearsofsteel_short,1,750,4.0,504.66006600699995,1.9445955843837028,86.63,78.04823898715007,1.0,0
0,14,tearsofsteel_short,1,750,4.232104084680382,796.2003376480001,0.0,86.63,86.4146420816936,1.0,0
0,15,tearsofsteel_short,1,750,4.599369033028046,825.8240574509999,0.0,86.63,86.42198738066055,1.0,0
0,16,tearsofsteel_short,1,750,4.3428110531329045,704.794816415,0.0,86.63,86.41685622106266,1.0,0
0,17,tearsofsteel_short,1,750,4.0,579.953241233,0.8300197661619402,86.63,82.84091500550366,1.0,0
