episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,weighted_penalty
0,0,bigbuckbunny,1,750,4.0,527.22940984,4.690122637336221,83.73,41.07325258295995,1.0,0.0
0,1,bigbuckbunny,1,750,4.0,319.96303501899996,5.376083083540744,83.73,44.69575535345254,1.0,0.0
0,2,bigbuckbunny,1,750,4.0,387.006993007,3.7517979111703994,83.73,56.42276944093196,1.0,0.0
0,3,bigbuckbunny,1,750,4.0,654.1505016719999,0.586100587452032,83.73,79.27847097871383,1.0,0.0
0,4,bigbuckbunny,1,750,4.283529031561471,807.2173913040001,0.0,83.73,83.51567058063124,1.0,0.0
0,5,bigbuckbunny,1,750,4.0,402.789660416,3.1645271000224646,83.73,60.66274724325781,1.0,0.0
0,6,bigbuckbunny,1,750,4.0,467.30616996500004,2.4197740000408974,83.73,66.03971567450473,1.0,0.0
0,7,bigbuckbunny,1,750,4.0,449.33333333300004,2.676557863506436,83.73,64.18578753705624,1.0,0.0
0,8,bigbuckbunny,1,750,4.0,426.70017533600003,3.0306978375101092,83.73,61.628967752744515,1.0,0.0
0,9,bigbuckbunny,1,750,4.0,606.445430346,0.9468589420953943,83.73,76.67386780985967,1.0,0.0
0,10,bigbuckbunny,1,750,4.3370082004383494,819.0026525200001,0.0,83.73,83.51674016400877,1.0,0.0
0,11,bigbuckbunny,1,750,4.0,356.126186202,4.086972164483077,83.73,54.00287836686508,1.0,0.0
0,12,bigbuckbunny,1,750,4.0,535.4585725999999,1.6026743309627989,83.73,71.9390118653148,1.0,0.0
0,13,bigbuckbunny,1,750,4.0,504.66006600699995,1.9445955843837028,83.73,69.47040879986655,1.0,0.0
0,14,bigbuckbunny,1,750,4.232104084680382,796.2003376480001,0.0,83.73,83.51464208169361,1.0,0.0
0,15,bigbuckbunny,1,750,4.599369033028046,825.8240574509999,0.0,83.73,83.52198738066056,1.0,0.0
0,16,bigbuckbunny,1,750,4.3428110531329045,704.794816415,0.0,83.73,83.51685622106267,1.0,0.0
0,17,bigbuckbunny,1,750,4.0,579.953241233,0.8300197661619402,83.73,77.51742329226403,1.0,0.0
0,18,bigbuckbunny,1,750,4.0,539.6716016150001,1.5589361956832963,83.73,72.25479245440575,1.0,0.0
0,19,bigbuckbunny,1,750,4.0,486.37653587,2.168060707603394,83.73,67.85703530324503,1.0,0.0
0,20,bigbuckbunny,1,750,4.0,735.174866627,0.08066180739294371,83.73,82.92763788298443,1.0,0.0
0,21,bigbuckbunny,1,750,4.0,666.069576218,0.5040339734990704,83.73,79.87097551813142,1.0,0.0
