episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks,shield_triggers
0,sintel,23,3907.63312848877,87.42999999999995,61.87097754137845,32.224467469467946,12.610000000000014,1,48,0
1,sintel,26,4484.2872546264525,93.89666666666666,0.40096070606577316,0.2088337010759235,20.370000000000005,2,48,0
2,sintel,11,4249.10805591398,91.14833333333333,21.680000000000003,11.291666666666668,28.129999999999995,3,48,0
3,sintel,8,4045.710316878494,87.42999999999995,30.14254470652192,15.699242034646835,12.610000000000014,1,48,0
4,sintel,5,4345.643896656347,92.44166666666665,1.9022970713887686,0.9907797246816502,82.44999999999993,10,48,0
5,sintel,3,3992.511666666667,87.42999999999995,42.08333333333334,21.918402777777782,12.610000000000014,1,48,0
6,sintel,8,4045.710316878494,87.42999999999995,30.14254470652192,15.699242034646835,12.610000000000014,1,48,0
7,sintel,19,4105.057913991693,89.20833333333333,8.483984753133981,4.418742058923949,136.76999999999987,17,48,0
8,sintel,11,4249.10805591398,91.14833333333333,21.680000000000003,11.291666666666668,28.129999999999995,3,48,0
9,sintel,16,4451.2644020935595,93.57333333333334,0.8882243986928859,0.46261687431921145,35.889999999999986,4,48,0
10,sintel,18,4501.702021505376,94.22000000000001,0.0,0.0,20.370000000000005,2,48,0
11,sintel,4,4117.47045128829,88.56166666666665,2.3670335985059348,1.232829999221841,121.24999999999989,15,48,0
12,sintel,23,3907.63312848877,87.42999999999995,61.87097754137845,32.224467469467946,12.610000000000014,1,48,0
13,sintel,6,4109.8680629336395,87.42999999999995,15.216019013801434,7.92500990302158,12.610000000000014,1,48,0
14,sintel,10,4069.6642289229394,87.42999999999995,24.402635856471225,12.709706175245431,12.610000000000014,1,48,0
15,sintel,14,3909.54410132484,87.42999999999995,61.378115970967414,31.96776873487886,12.610000000000014,1,48,0
16,sintel,0,4339.524500506892,91.95666666666664,1.5195009372543486,0.7914067381533065,66.92999999999995,8,48,0
17,sintel,0,4339.524500506892,91.95666666666664,1.5195009372543486,0.7914067381533065,66.92999999999995,8,48,0
18,sintel,21,4117.996458333332,88.56166666666665,2.40625,1.2532552083333335,121.24999999999989,15,48,0
19,sintel,24,4089.4099084744207,89.04666666666664,21.055820197829235,10.966573019702725,90.20999999999992,11,48,0
