episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks,shield_triggers
0,bigbuckbunny,23,3725.4931284887684,83.73,61.87097754137845,32.224467469467946,17.150000000000006,1,48,0
1,bigbuckbunny,26,4250.687254626455,89.10062500000005,0.40096070606577316,0.2088337010759235,23.760000000000005,2,48,0
2,bigbuckbunny,11,4051.2392559139803,86.75958333333334,18.259999999999998,9.510416666666666,30.370000000000005,3,48,0
3,bigbuckbunny,8,3863.5703168784926,83.73,30.14254470652192,15.699242034646835,17.150000000000006,1,48,0
4,bigbuckbunny,5,4124.983896656348,87.72354166666669,1.9022970713887686,0.9907797246816502,76.64,10,48,0
5,bigbuckbunny,3,3810.3716666666674,83.73,42.08333333333334,21.918402777777782,17.150000000000006,1,48,0
6,bigbuckbunny,8,3863.5703168784926,83.73,30.14254470652192,15.699242034646835,17.150000000000006,1,48,0
7,bigbuckbunny,19,3935.2864595917176,85.10708333333336,8.483984753133981,4.418742058923949,109.69,15,48,0
8,bigbuckbunny,11,4051.2392559139803,86.75958333333334,18.259999999999998,9.510416666666666,30.370000000000005,3,48,0
9,bigbuckbunny,16,4222.264402093562,88.82520833333338,0.8882243986928859,0.46261687431921145,36.980000000000004,4,48,0
10,bigbuckbunny,18,4272.412021505379,89.51375000000006,0.0,0.0,23.760000000000005,2,48,0
11,bigbuckbunny,4,3949.990451288292,84.69395833333336,2.3670335985059348,1.232829999221841,103.08,14,48,0
12,bigbuckbunny,23,3725.4931284887684,83.73,61.87097754137845,32.224467469467946,17.150000000000006,1,48,0
13,bigbuckbunny,6,3927.7280629336387,83.73,15.216019013801434,7.92500990302158,17.150000000000006,1,48,0
14,bigbuckbunny,10,3887.5242289229377,83.73,24.402635856471225,12.709706175245431,17.150000000000006,1,48,0
15,bigbuckbunny,14,3727.404101324841,83.73,61.378115970967414,31.96776873487886,17.150000000000006,1,48,0
16,bigbuckbunny,0,4120.0145005068935,87.58583333333335,1.5195009372543486,0.7914067381533065,76.64,10,48,0
17,bigbuckbunny,0,4120.0145005068935,87.58583333333335,1.5195009372543486,0.7914067381533065,76.64,10,48,0
18,bigbuckbunny,21,3943.9064583333334,84.69395833333336,2.40625,1.2532552083333335,109.69,15,48,0
19,bigbuckbunny,24,3894.1151594218786,84.96937500000001,19.5128942285463,10.162965744034532,96.47,13,48,0
