episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,shield_active
0,0,sintel,1,750,4.0,527.22940984,4.690122637336221,87.43,54.43247265945425,1.0,0
0,1,sintel,1,750,4.0,319.96303501899996,5.376083083540744,87.43,64.09284274077481,1.0,0
0,2,sintel,1,750,4.0,387.006993007,3.7517979111703994,87.43,71.0772689819673,1.0,0
0,3,sintel,1,750,4.0,654.1505016719999,0.586100587452032,87.43,84.68976747395627,1.0,0
0,4,sintel,1,750,4.283529031561471,807.2173913040001,0.0,87.43,87.21567058063124,1.0,0
0,5,sintel,1,750,4.0,402.789660416,3.1645271000224646,87.43,73.6025334699034,1.0,0
0,6,sintel,1,750,4.0,467.30616996500004,2.4197740000408974,87.43,76.80497179982414,1.0,0
0,7,sintel,1,750,4.0,449.33333333300004,2.676557863506436,87.43,75.70080118692233,1.0,0
0,8,sintel,1,750,4.0,426.70017533600003,3.0306978375101092,87.43,74.17799929870654,1.0,0
0,9,sintel,1,750,4.0,606.445430346,0.9468589420953943,87.43,83.13850654898981,1.0,0
0,10,sintel,1,750,4.3370082004383494,819.0026525200001,0.0,87.43,87.21674016400877,1.0,0
0,11,sintel,1,750,4.0,356.126186202,4.086972164483077,87.43,69.63601969272278,1.0,0
0,12,sintel,1,750,4.0,535.4585725999999,1.6026743309627989,87.43,80.31850037685997,1.0,0
0,13,sintel,1,750,4.0,504.66006600699995,1.9445955843837028,87.43,78.84823898715008,1.0,0
0,14,sintel,1,750,4.232104084680382,796.2003376480001,0.0,87.43,87.21464208169361,1.0,0
0,15,sintel,1,750,4.599369033028046,825.8240574509999,0.0,87.43,87.22198738066056,1.0,0
0,16,sintel,1,750,4.3428110531329045,704.794816415,0.0,87.43,87.21685622106267,1.0,0
0,17,sintel,1,750,4.0,579.953241233,0.8300197661619402,87.43,83.64091500550367,1.0,0
0,18,sintel,1,750,4.0,539.6716016150001,1.5589361956832963,87.43,80.50657435856183,1.0,0
0,19,sintel,1,750,4.0,486.37653587,2.168060707603394,87.43,77.88733895730542,1.0,0
0,20,sintel,1,750,4.0,735.174866627,0.08066180739294371,87.43,86.86315422821035,1.0,0
