step,mean_action,action_distribution,action_variance,action_entropy
40000,2.62,0.000;0.250;0.250;0.125;0.375;0.000,1.48,1.321
80000,2.50,0.000;0.375;0.250;0.125;0.000;0.250,2.50,1.321
120000,1.38,0.125;0.500;0.250;0.125;0.000;0.000,0.73,1.213
160000,1.75,0.375;0.125;0.250;0.000;0.125;0.125,3.19,1.494
200000,1.12,0.500;0.000;0.375;0.125;0.000;0.000,1.36,0.974
240000,1.38,0.250;0.500;0.125;0.000;0.000;0.125,2.23,1.213
280000,1.12,0.375;0.375;0.125;0.000;0.125;0.000,1.61,1.255
320000,1.12,0.375;0.250;0.250;0.125;0.000;0.000,1.11,1.321
360000,0.50,0.625;0.250;0.125;0.000;0.000;0.000,0.50,0.900
400000,0.50,0.500;0.500;0.000;0.000;0.000;0.000,0.25,0.693
440000,1.12,0.125;0.625;0.250;0.000;0.000;0.000,0.36,0.900
480000,0.38,0.625;0.375;0.000;0.000;0.000;0.000,0.23,0.662
520000,0.88,0.250;0.625;0.125;0.000;0.000;0.000,0.36,0.900
560000,1.38,0.250;0.250;0.375;0.125;0.000;0.000,0.98,1.321
600000,1.75,0.250;0.375;0.000;0.250;0.000;0.125,2.69,1.321
640000,0.75,0.500;0.250;0.250;0.000;0.000;0.000,0.69,1.040
680000,1.25,0.375;0.250;0.250;0.000;0.125;0.000,1.69,1.321
720000,1.50,0.125;0.500;0.125;0.250;0.000;0.000,1.00,1.213
760000,0.88,0.500;0.250;0.125;0.125;0.000;0.000,1.11,1.213
800000,2.12,0.000;0.375;0.250;0.250;0.125;0.000,1.11,1.321
840000,0.88,0.375;0.500;0.000;0.125;0.000;0.000,0.86,0.974
880000,1.38,0.250;0.250;0.375;0.125;0.000;0.000,0.98,1.321
920000,0.50,0.625;0.250;0.125;0.000;0.000;0.000,0.50,0.900
960000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
1000000,0.62,0.500;0.375;0.125;0.000;0.000;0.000,0.48,0.974
