episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,tearsofsteel_short,23,1627.1869982069243,86.63000000000007,61.87097754090831,32.22446746922308,18.78,1,48
1,tearsofsteel_short,26,4137.013795951045,86.63000000000007,0.40096070606511924,0.20883370107558294,18.78,1,48
2,tearsofsteel_short,11,3821.566997663515,86.63000000000007,7.99999999976953,4.1666666665466305,18.78,1,48
3,tearsofsteel_short,8,2905.870761706584,86.63000000000007,30.1425447061429,15.699242034449426,18.78,1,48
4,tearsofsteel_short,5,4075.559737309644,86.63000000000007,1.9022970713859606,0.9907797246801878,18.78,1,48
5,tearsofsteel_short,3,2418.4754649373995,86.63000000000007,42.08333333296233,21.918402777584546,18.78,1,48
6,tearsofsteel_short,8,2905.870761706584,86.63000000000007,30.1425447061429,15.699242034449426,18.78,1,48
7,tearsofsteel_short,19,3798.237135192139,86.63000000000007,8.483984753061343,4.4187420588861155,18.78,1,48
8,tearsofsteel_short,11,3821.566997663515,86.63000000000007,7.99999999976953,4.1666666665466305,18.78,1,48
9,tearsofsteel_short,16,4118.0648554508825,86.63000000000007,0.8882243986916973,0.46261687431859233,18.78,1,48
10,tearsofsteel_short,18,4153.922107526885,86.63000000000007,0.0,0.0,18.78,1,48
11,tearsofsteel_short,4,4051.2755236827816,86.63000000000007,2.367033598502156,1.2328299992198728,18.78,1,48
12,tearsofsteel_short,23,1627.1869982069243,86.63000000000007,61.87097754090831,32.22446746922308,18.78,1,48
13,tearsofsteel_short,6,3503.422059928755,86.63000000000007,15.216019013510902,7.925009902870261,18.78,1,48
14,tearsofsteel_short,10,3132.0677616301214,86.63000000000007,24.4026358561367,12.709706175071197,18.78,1,48
15,tearsofsteel_short,14,1645.8803341696898,86.63000000000007,61.37811597052771,31.967768734649848,18.78,1,48
16,tearsofsteel_short,0,4090.8604324224407,86.63000000000007,1.5195009372522326,0.7914067381522045,18.78,1,48
17,tearsofsteel_short,0,4090.8604324224407,86.63000000000007,1.5195009372522326,0.7914067381522045,18.78,1,48
18,tearsofsteel_short,21,4053.1784217156346,86.63000000000007,2.4062499999961324,1.253255208331319,18.78,1,48
19,tearsofsteel_short,24,3784.4834964677048,86.63000000000007,8.786054697903928,4.5760701551582965,18.78,1,48
