step,mean_action,action_distribution,action_variance,action_entropy
40000,2.12,0.250;0.125;0.125;0.375;0.000;0.125,2.61,1.494
80000,1.50,0.375;0.250;0.125;0.125;0.000;0.125,2.75,1.494
120000,1.12,0.375;0.125;0.500;0.000;0.000;0.000,0.86,0.974
160000,1.75,0.250;0.250;0.250;0.125;0.000;0.125,2.44,1.560
200000,1.88,0.000;0.625;0.125;0.000;0.250;0.000,1.61,0.900
240000,2.12,0.250;0.000;0.375;0.125;0.250;0.000,2.11,1.321
280000,1.38,0.500;0.000;0.250;0.125;0.125;0.000,2.23,1.213
320000,2.50,0.125;0.250;0.125;0.125;0.250;0.125,2.75,1.733
360000,2.25,0.000;0.250;0.500;0.000;0.250;0.000,1.19,1.040
400000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
440000,1.12,0.125;0.625;0.250;0.000;0.000;0.000,0.36,0.900
480000,0.88,0.375;0.375;0.250;0.000;0.000;0.000,0.61,1.082
520000,1.38,0.125;0.500;0.250;0.125;0.000;0.000,0.73,1.213
560000,1.50,0.125;0.500;0.125;0.250;0.000;0.000,1.00,1.213
600000,1.12,0.500;0.125;0.250;0.000;0.125;0.000,1.86,1.213
640000,2.00,0.125;0.375;0.125;0.250;0.000;0.125,2.25,1.494
680000,1.88,0.250;0.250;0.250;0.000;0.125;0.125,2.86,1.560
720000,0.50,0.625;0.250;0.125;0.000;0.000;0.000,0.50,0.900
760000,1.12,0.125;0.625;0.250;0.000;0.000;0.000,0.36,0.900
800000,1.50,0.375;0.125;0.375;0.000;0.000;0.125,2.50,1.255
840000,1.00,0.250;0.500;0.250;0.000;0.000;0.000,0.50,1.040
880000,1.50,0.125;0.250;0.625;0.000;0.000;0.000,0.50,0.900
920000,1.50,0.375;0.000;0.375;0.250;0.000;0.000,1.50,1.082
960000,1.25,0.125;0.500;0.375;0.000;0.000;0.000,0.44,0.974
1000000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
