step,mean_action,action_distribution,action_variance,action_entropy
40000,1.75,0.125;0.375;0.375;0.000;0.000;0.125,1.94,1.255
80000,1.88,0.375;0.125;0.125;0.125;0.125;0.125,3.36,1.667
120000,2.38,0.250;0.000;0.250;0.125;0.375;0.000,2.48,1.321
160000,2.25,0.250;0.125;0.250;0.000;0.250;0.125,3.19,1.560
200000,2.00,0.000;0.500;0.250;0.000;0.250;0.000,1.50,1.040
240000,2.88,0.125;0.125;0.250;0.125;0.000;0.375,3.36,1.494
280000,3.88,0.000;0.000;0.250;0.125;0.125;0.500,1.61,1.213
320000,1.38,0.250;0.250;0.375;0.125;0.000;0.000,0.98,1.321
360000,2.88,0.125;0.250;0.000;0.250;0.000;0.375,3.61,1.321
400000,2.62,0.250;0.125;0.125;0.000;0.250;0.250,3.98,1.560
440000,2.00,0.250;0.250;0.000;0.250;0.250;0.000,2.50,1.386
480000,2.75,0.125;0.125;0.125;0.250;0.250;0.125,2.44,1.733
520000,1.50,0.375;0.125;0.250;0.125;0.125;0.000,2.00,1.494
560000,2.38,0.125;0.125;0.250;0.250;0.250;0.000,1.73,1.560
600000,1.50,0.375;0.125;0.250;0.125;0.125;0.000,2.00,1.494
640000,3.50,0.000;0.125;0.125;0.125;0.375;0.250,1.75,1.494
680000,1.88,0.125;0.500;0.000;0.125;0.250;0.000,2.11,1.213
720000,1.88,0.250;0.125;0.250;0.250;0.125;0.000,1.86,1.560
760000,2.25,0.250;0.125;0.125;0.125;0.375;0.000,2.69,1.494
800000,1.75,0.250;0.375;0.125;0.000;0.125;0.125,2.94,1.494
840000,3.25,0.000;0.250;0.125;0.125;0.125;0.375,2.69,1.494
880000,2.75,0.125;0.250;0.000;0.125;0.375;0.125,2.94,1.494
920000,2.50,0.250;0.125;0.000;0.250;0.250;0.125,3.25,1.560
960000,1.75,0.500;0.000;0.125;0.000;0.375;0.000,3.44,0.974
1000000,2.12,0.125;0.250;0.250;0.125;0.250;0.000,1.86,1.560
