step,mean_action,action_distribution,action_variance,action_entropy
40000,2.62,0.125;0.250;0.000;0.250;0.250;0.125,2.73,1.560
80000,2.88,0.125;0.000;0.250;0.125;0.500;0.000,1.86,1.213
120000,2.62,0.000;0.250;0.250;0.250;0.125;0.125,1.73,1.560
160000,2.25,0.125;0.250;0.125;0.375;0.000;0.125,2.19,1.494
200000,0.50,0.625;0.250;0.125;0.000;0.000;0.000,0.50,0.900
240000,1.12,0.625;0.000;0.125;0.125;0.125;0.000,2.36,1.074
280000,1.88,0.250;0.375;0.000;0.125;0.125;0.125,3.11,1.494
320000,0.75,0.625;0.125;0.125;0.125;0.000;0.000,1.19,1.074
360000,1.38,0.375;0.125;0.375;0.000;0.125;0.000,1.73,1.255
400000,2.75,0.125;0.125;0.000;0.500;0.125;0.125,2.19,1.386
440000,2.12,0.125;0.250;0.375;0.000;0.125;0.125,2.36,1.494
480000,2.00,0.250;0.125;0.125;0.375;0.125;0.000,2.00,1.494
520000,1.50,0.250;0.375;0.125;0.125;0.125;0.000,1.75,1.494
560000,1.25,0.500;0.000;0.250;0.250;0.000;0.000,1.69,1.040
600000,0.75,0.500;0.375;0.000;0.125;0.000;0.000,0.94,0.974
640000,0.88,0.500;0.125;0.375;0.000;0.000;0.000,0.86,0.974
680000,1.25,0.375;0.250;0.250;0.000;0.125;0.000,1.69,1.321
720000,0.62,0.625;0.125;0.250;0.000;0.000;0.000,0.73,0.900
760000,0.25,0.750;0.250;0.000;0.000;0.000;0.000,0.19,0.562
800000,0.88,0.625;0.125;0.000;0.250;0.000;0.000,1.61,0.900
840000,1.12,0.500;0.250;0.000;0.125;0.125;0.000,2.11,1.213
880000,1.38,0.375;0.250;0.250;0.000;0.000;0.125,2.48,1.321
920000,1.88,0.250;0.250;0.125;0.250;0.000;0.125,2.61,1.560
960000,1.62,0.250;0.125;0.375;0.250;0.000;0.000,1.23,1.321
1000000,2.00,0.250;0.250;0.000;0.250;0.250;0.000,2.50,1.386
