step,mean_action,action_distribution,action_variance,action_entropy
40000,3.00,0.125;0.000;0.125;0.375;0.250;0.125,2.00,1.494
80000,2.25,0.250;0.000;0.250;0.250;0.250;0.000,2.19,1.386
120000,2.50,0.125;0.000;0.500;0.000;0.375;0.000,1.75,0.974
160000,1.75,0.250;0.375;0.000;0.125;0.250;0.000,2.44,1.321
200000,2.00,0.125;0.250;0.375;0.000;0.250;0.000,1.75,1.321
240000,1.12,0.375;0.375;0.125;0.000;0.125;0.000,1.61,1.255
280000,1.88,0.125;0.250;0.500;0.000;0.000;0.125,1.86,1.213
320000,2.00,0.125;0.125;0.375;0.375;0.000;0.000,1.00,1.255
360000,1.38,0.375;0.250;0.250;0.000;0.000;0.125,2.48,1.321
400000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
440000,1.12,0.500;0.125;0.125;0.250;0.000;0.000,1.61,1.213
480000,1.00,0.500;0.125;0.250;0.125;0.000;0.000,1.25,1.213
520000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
560000,1.50,0.250;0.250;0.375;0.000;0.125;0.000,1.50,1.321
600000,1.38,0.375;0.250;0.000;0.375;0.000;0.000,1.73,1.082
640000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
680000,1.62,0.250;0.125;0.375;0.250;0.000;0.000,1.23,1.321
720000,1.88,0.250;0.125;0.125;0.500;0.000;0.000,1.61,1.213
760000,1.00,0.500;0.125;0.250;0.125;0.000;0.000,1.25,1.213
800000,0.75,0.500;0.375;0.000;0.125;0.000;0.000,0.94,0.974
840000,1.00,0.500;0.250;0.000;0.250;0.000;0.000,1.50,1.040
880000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
920000,1.12,0.250;0.500;0.125;0.125;0.000;0.000,0.86,1.213
960000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
1000000,1.12,0.625;0.000;0.125;0.125;0.125;0.000,2.36,1.074
