episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,bigbuckbunny,23,2794.527240137672,66.57999999999996,1.2760490549301715,0.664608882776131,0.0,0,48
1,bigbuckbunny,11,3193.837322580643,66.57999999999996,0.0,0.0,0.0,0,48
2,bigbuckbunny,18,3193.838354838708,66.57999999999996,0.0,0.0,0.0,0,48
3,bigbuckbunny,3,2819.921210370464,66.57999999999996,1.199999999995967,0.6249999999978995,0.0,0,48
4,bigbuckbunny,17,2869.4820489877275,66.57999999999996,1.0399999999965317,0.5416666666648602,0.0,0,48
5,bigbuckbunny,11,3193.837322580643,66.57999999999996,0.0,0.0,0.0,0,48
6,bigbuckbunny,16,3193.648721376628,66.57999999999996,0.0,0.0,0.0,0,48
7,bigbuckbunny,18,3193.838354838708,66.57999999999996,0.0,0.0,0.0,0,48
8,bigbuckbunny,6,3124.6629868655946,66.57999999999996,0.2176139023829209,0.1133405741577713,0.0,0,48
9,bigbuckbunny,26,3193.558653392925,66.57999999999996,0.0,0.0,0.0,0,48
10,bigbuckbunny,14,2793.289007079951,66.57999999999996,1.283800243601013,0.6686459602088609,0.0,0,48
11,bigbuckbunny,0,3190.7822396725164,66.57999999999996,0.007800374900893026,0.004062695260881785,0.0,0,48
12,bigbuckbunny,24,3172.476849807344,66.57999999999996,0.0663633455363215,0.03456424246683412,0.0,0,48
13,bigbuckbunny,3,2819.921210370464,66.57999999999996,1.199999999995967,0.6249999999978995,0.0,0,48
14,bigbuckbunny,21,3080.611823966178,66.57999999999996,0.36249999999845284,0.18880208333252751,0.0,0,48
15,bigbuckbunny,7,3088.3347154168023,66.57999999999996,0.3374999999985093,0.17578124999922362,0.0,0,48
16,bigbuckbunny,25,3193.6198661488856,66.57999999999996,0.0,0.0,0.0,0,48
17,bigbuckbunny,15,3172.3208588980838,66.57999999999996,0.0657167568207504,0.0342274775108075,0.0,0,48
18,bigbuckbunny,8,3114.0958215432465,66.57999999999996,0.25484367008147024,0.1327310781674324,0.0,0,48
19,bigbuckbunny,1,3165.2996747295883,66.57999999999996,0.08998094809176549,0.046865077131127864,0.0,0,48
