episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches,chunks
0,tearsofsteel_short,23,2855.4872401376715,67.84999999999995,1.2760490549301715,0.664608882776131,0.0,0,48
1,tearsofsteel_short,11,3254.7973225806427,67.84999999999995,0.0,0.0,0.0,0,48
2,tearsofsteel_short,18,3254.798354838707,67.84999999999995,0.0,0.0,0.0,0,48
3,tearsofsteel_short,3,2880.881210370463,67.84999999999995,1.199999999995967,0.6249999999978995,0.0,0,48
4,tearsofsteel_short,17,2930.442048987727,67.84999999999995,1.0399999999965317,0.5416666666648602,0.0,0,48
5,tearsofsteel_short,11,3254.7973225806427,67.84999999999995,0.0,0.0,0.0,0,48
6,tearsofsteel_short,16,3254.6087213766277,67.84999999999995,0.0,0.0,0.0,0,48
7,tearsofsteel_short,18,3254.798354838707,67.84999999999995,0.0,0.0,0.0,0,48
8,tearsofsteel_short,6,3185.622986865594,67.84999999999995,0.2176139023829209,0.1133405741577713,0.0,0,48
9,tearsofsteel_short,26,3254.518653392924,67.84999999999995,0.0,0.0,0.0,0,48
10,tearsofsteel_short,14,2854.24900707995,67.84999999999995,1.283800243601013,0.6686459602088609,0.0,0,48
11,tearsofsteel_short,0,3251.7422396725156,67.84999999999995,0.007800374900893026,0.004062695260881785,0.0,0,48
12,tearsofsteel_short,24,3233.436849807343,67.84999999999995,0.0663633455363215,0.03456424246683412,0.0,0,48
13,tearsofsteel_short,3,2880.881210370463,67.84999999999995,1.199999999995967,0.6249999999978995,0.0,0,48
14,tearsofsteel_short,21,3141.571823966177,67.84999999999995,0.36249999999845284,0.18880208333252751,0.0,0,48
15,tearsofsteel_short,7,3149.2947154168014,67.84999999999995,0.3374999999985093,0.17578124999922362,0.0,0,48
16,tearsofsteel_short,25,3254.5798661488852,67.84999999999995,0.0,0.0,0.0,0,48
17,tearsofsteel_short,15,3233.280858898083,67.84999999999995,0.0657167568207504,0.0342274775108075,0.0,0,48
18,tearsofsteel_short,8,3175.055821543246,67.84999999999995,0.25484367008147024,0.1327310781674324,0.0,0,48
19,tearsofsteel_short,1,3226.2596747295875,67.84999999999995,0.08998094809176549,0.046865077131127864,0.0,0,48
