step,mean_action,action_distribution,action_variance,action_entropy
40000,2.25,0.125;0.375;0.000;0.125;0.375;0.000,2.44,1.255
80000,3.00,0.000;0.125;0.375;0.125;0.125;0.250,2.00,1.494
120000,3.25,0.000;0.125;0.125;0.250;0.375;0.125,1.44,1.494
160000,1.38,0.250;0.500;0.125;0.000;0.000;0.125,2.23,1.213
200000,2.50,0.000;0.250;0.125;0.500;0.125;0.000,1.00,1.213
240000,1.62,0.250;0.375;0.125;0.125;0.000;0.125,2.48,1.494
280000,1.12,0.250;0.625;0.000;0.000;0.125;0.000,1.36,0.900
320000,0.38,0.750;0.125;0.125;0.000;0.000;0.000,0.48,0.736
360000,2.00,0.125;0.250;0.250;0.250;0.125;0.000,1.50,1.560
400000,2.00,0.250;0.000;0.375;0.250;0.125;0.000,1.75,1.321
440000,1.75,0.250;0.250;0.250;0.125;0.000;0.125,2.44,1.560
480000,1.75,0.125;0.125;0.625;0.125;0.000;0.000,0.69,1.074
520000,1.75,0.125;0.250;0.500;0.000;0.125;0.000,1.19,1.213
560000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
600000,2.00,0.250;0.000;0.500;0.125;0.000;0.125,2.25,1.213
640000,1.12,0.375;0.375;0.000;0.250;0.000;0.000,1.36,1.082
680000,1.50,0.250;0.250;0.250;0.250;0.000;0.000,1.25,1.386
720000,2.88,0.000;0.125;0.000;0.750;0.125;0.000,0.61,0.736
760000,1.50,0.250;0.375;0.125;0.125;0.125;0.000,1.75,1.494
800000,1.88,0.000;0.375;0.500;0.000;0.125;0.000,0.86,0.974
840000,1.75,0.000;0.500;0.375;0.000;0.125;0.000,0.94,0.974
880000,1.50,0.125;0.250;0.625;0.000;0.000;0.000,0.50,0.900
920000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
960000,1.25,0.375;0.250;0.125;0.250;0.000;0.000,1.44,1.321
1000000,1.88,0.000;0.375;0.375;0.250;0.000;0.000,0.61,1.082
