episode,video,reward,avg_vmaf,total_rebuffer,rebuffer_pct,switches,steps
1,bigbuckbunny,3184.8343282175874,66.57999999999996,0.0663633455363215,0.03456424246683412,0,48
2,bigbuckbunny,3165.184739931735,66.57999999999996,0.2176139023829209,0.1133405741577713,0,48
3,bigbuckbunny,3148.1127295864703,66.57999999999996,0.36249999999845284,0.18880208333252751,0,48
4,parkjoy,669.3798195950948,16.710000000000008,1.0399999999965317,0.5416666666648602,0,48
5,tearsofsteel_short,3254.518653392924,67.84999999999995,0.0,0.0,0,48
6,parkjoy,799.7986533929273,16.710000000000008,0.0,0.0,0,48
7,bigbuckbunny,3182.0549726186714,66.57999999999996,0.08998094809176549,0.046865077131127864,0,48
8,parkjoy,788.2949726186738,16.710000000000008,0.08998094809176549,0.046865077131127864,0,48
9,tearsofsteel_short,3254.798354838707,67.84999999999995,0.0,0.0,0,48
10,parkjoy,754.3527295864725,16.710000000000008,0.36249999999845284,0.18880208333252751,0,48
11,parkjoy,638.5846735047542,16.710000000000008,1.283800243601013,0.6686459602088609,0,48
12,parkjoy,799.7373152604672,16.710000000000008,0.0,0.0,0,48
13,parkjoy,799.7373152604672,16.710000000000008,0.0,0.0,0,48
14,tearsofsteel_short,3234.214613199675,67.84999999999995,0.16091882855438433,0.08381188987207516,0,48
15,bigbuckbunny,3184.8343282175874,66.57999999999996,0.0663633455363215,0.03456424246683412,0,48
16,parkjoy,791.0743282175896,16.710000000000008,0.0663633455363215,0.03456424246683412,0,48
17,parkjoy,800.0225000000005,16.710000000000008,0.0,0.0,0,48
18,tearsofsteel_short,3183.3913812349897,67.84999999999995,0.5588035129776185,0.29104349634250964,0,48
19,parkjoy,767.7901071216538,16.710000000000008,0.25484367008147024,0.1327310781674324,0,48
20,parkjoy,783.8769916496361,16.710000000000008,0.12151342654661645,0.0632882429930294,0,48
