step,mean_action,action_distribution,action_variance,action_entropy
40000,2.12,0.500;0.000;0.000;0.125;0.125;0.250,4.86,1.213
80000,1.88,0.000;0.375;0.500;0.000;0.125;0.000,0.86,0.974
120000,2.88,0.000;0.000;0.500;0.250;0.125;0.125,1.11,1.213
160000,2.25,0.125;0.125;0.375;0.250;0.000;0.125,1.94,1.494
200000,2.12,0.125;0.125;0.375;0.250;0.125;0.000,1.36,1.494
240000,1.75,0.125;0.250;0.375;0.250;0.000;0.000,0.94,1.321
280000,1.75,0.125;0.250;0.375;0.250;0.000;0.000,0.94,1.321
320000,2.38,0.000;0.000;0.625;0.375;0.000;0.000,0.23,0.662
360000,2.00,0.000;0.250;0.500;0.250;0.000;0.000,0.50,1.040
400000,2.88,0.000;0.125;0.250;0.250;0.375;0.000,1.11,1.321
440000,2.12,0.000;0.250;0.375;0.375;0.000;0.000,0.61,1.082
480000,2.50,0.000;0.000;0.500;0.500;0.000;0.000,0.25,0.693
520000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
560000,2.38,0.000;0.125;0.500;0.250;0.125;0.000,0.73,1.213
600000,2.12,0.000;0.125;0.625;0.250;0.000;0.000,0.36,0.900
640000,2.38,0.000;0.125;0.375;0.500;0.000;0.000,0.48,0.974
680000,2.25,0.000;0.250;0.250;0.500;0.000;0.000,0.69,1.040
720000,2.75,0.000;0.000;0.250;0.750;0.000;0.000,0.19,0.562
760000,2.38,0.000;0.125;0.375;0.500;0.000;0.000,0.48,0.974
800000,2.25,0.000;0.250;0.250;0.500;0.000;0.000,0.69,1.040
840000,2.62,0.000;0.000;0.625;0.250;0.000;0.125,0.98,0.900
880000,2.12,0.000;0.125;0.625;0.250;0.000;0.000,0.36,0.900
920000,2.62,0.000;0.000;0.375;0.625;0.000;0.000,0.23,0.662
960000,2.25,0.000;0.250;0.250;0.500;0.000;0.000,0.69,1.040
1000000,2.50,0.000;0.000;0.625;0.250;0.125;0.000,0.50,0.900
