episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,crowd_run,23,453.78312848876897,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1
1,crowd_run,26,1090.497254626452,23.2,0.40096070606577316,0.2088337010759235,20.72,2
2,crowd_run,11,812.7728559139786,19.906250000000018,25.100000000000005,13.07291666666667,30.02,3
3,crowd_run,8,591.8603168784925,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1
4,crowd_run,5,971.9546778211123,21.262500000000006,1.9022970713887686,0.9907797246816502,39.32,4
5,crowd_run,3,538.6616666666663,15.450000000000008,42.08333333333334,21.918402777777782,11.419999999999998,1
6,crowd_run,8,591.8603168784925,15.450000000000008,30.14254470652192,15.699242034646835,11.419999999999998,1
7,crowd_run,19,801.1844283020089,18.356250000000003,8.483984753133981,4.418742058923949,39.32,4
8,crowd_run,11,812.7728559139786,19.906250000000018,25.100000000000005,13.07291666666667,30.02,3
9,crowd_run,16,1088.5043208183283,23.2,0.8882243986928859,0.46261687431921145,20.72,2
10,crowd_run,18,1101.6920215053765,23.39375,0.0,0.0,20.72,2
11,crowd_run,4,782.5965581911895,17.387500000000006,2.3670335985059348,1.232829999221841,39.32,4
12,crowd_run,23,453.78312848876897,15.450000000000008,61.87097754137845,32.224467469467946,11.419999999999998,1
13,crowd_run,6,656.0180629336382,15.450000000000008,15.216019013801434,7.92500990302158,11.419999999999998,1
14,crowd_run,10,615.8142289229382,15.450000000000008,24.402635856471225,12.709706175245431,11.419999999999998,1
15,crowd_run,14,455.69410132484006,15.450000000000008,61.378115970967414,31.96776873487886,11.419999999999998,1
16,crowd_run,0,954.9123202733047,20.87500000000001,1.5195009372543486,0.7914067381533065,39.32,4
17,crowd_run,0,954.9123202733047,20.87500000000001,1.5195009372543486,0.7914067381533065,39.32,4
18,crowd_run,21,782.0226250000001,17.581250000000008,2.40625,1.2532552083333335,48.620000000000005,5
19,crowd_run,24,688.783693884162,17.968750000000018,28.0274936749161,14.597652955685469,48.620000000000005,5
