episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,bigbuckbunny,0,3989.094959079628,85.65791666666671,10.374102601568925,5.403178438317148,76.64,10
1,bigbuckbunny,23,4036.144107334963,85.79562500000002,5.623672551543898,2.9289961205957797,56.81,7
2,bigbuckbunny,17,3988.1478998653297,84.00541666666668,2.66463435663594,1.3878303940812187,30.370000000000005,3
3,bigbuckbunny,10,4078.479006413525,86.48416666666672,4.993647275728672,2.6008579561086833,50.2,6
4,bigbuckbunny,7,4064.8005400596926,86.75958333333335,3.6396964483918506,1.895675233537422,83.25,11
5,bigbuckbunny,16,4140.322000000002,87.86125000000004,0.0,0.0,76.64,10
6,bigbuckbunny,11,3989.8908349538897,85.52020833333334,11.6573056124721,6.0715133398292185,63.42,8
7,bigbuckbunny,5,4033.7355809199203,86.75958333333337,13.707726538936654,7.1394409056961745,70.03,9
8,bigbuckbunny,32,4020.686412034421,84.96937500000001,1.218906410827989,0.6348470889729109,50.2,6
9,bigbuckbunny,9,4107.203727655189,86.75958333333337,0.0,0.0,56.81,7
10,bigbuckbunny,4,4084.468150771482,86.89729166666667,6.523524201082127,3.3976688547302745,56.81,7
11,bigbuckbunny,21,3899.0816305005815,85.38250000000004,29.531220946722122,15.380844243084438,70.03,9
12,bigbuckbunny,1,4032.221272370182,86.62187500000003,17.137662313552084,8.925865788308379,50.2,6
13,bigbuckbunny,21,3899.0816305005815,85.38250000000004,29.531220946722122,15.380844243084438,70.03,9
14,bigbuckbunny,32,4020.686412034421,84.96937500000001,1.218906410827989,0.6348470889729109,50.2,6
15,bigbuckbunny,0,3989.094959079628,85.65791666666671,10.374102601568925,5.403178438317148,76.64,10
16,bigbuckbunny,10,4078.479006413525,86.48416666666672,4.993647275728672,2.6008579561086833,50.2,6
17,bigbuckbunny,18,3915.8361593713885,85.2447916666667,25.751050632917025,13.412005537977617,63.42,8
18,bigbuckbunny,26,3861.5362472693773,85.38250000000001,35.165272832604295,18.315246266981404,83.25,11
19,bigbuckbunny,11,3989.8908349538897,85.52020833333334,11.6573056124721,6.0715133398292185,63.42,8
