episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,sintel,0,4208.024959079627,90.33999999999999,10.374102601568925,5.403178438317148,82.44999999999993,10
1,sintel,23,4244.154107334963,90.17833333333333,5.623672551543898,2.9289961205957797,59.16999999999996,7
2,sintel,17,4178.047899865328,87.91499999999996,2.66463435663594,1.3878303940812187,28.129999999999995,3
3,sintel,10,4285.629006413522,90.825,4.993647275728672,2.6008579561086833,51.40999999999997,6
4,sintel,7,4260.740540059692,90.98666666666664,3.6396964483918506,1.895675233537422,90.20999999999992,11
5,sintel,16,4354.372,92.44166666666666,0.0,0.0,82.44999999999993,10
6,sintel,11,4186.690834953888,89.69333333333327,11.6573056124721,6.0715133398292185,66.92999999999995,8
7,sintel,5,4255.255580919919,91.14833333333337,13.707726538936654,7.1394409056961745,59.16999999999996,7
8,sintel,32,4207.4264120344205,88.88499999999993,1.218906410827989,0.6348470889729109,51.40999999999997,6
9,sintel,9,4323.157616634374,91.31000000000004,0.0,0.0,59.16999999999996,7
10,sintel,4,4293.918150771483,91.31000000000002,6.523524201082127,3.3976688547302745,59.16999999999996,7
11,sintel,21,4101.341630500579,89.69333333333334,29.531220946722122,15.380844243084438,74.68999999999994,9
12,sintel,1,4248.28127237018,91.1483333333333,17.137662313552084,8.925865788308379,51.40999999999997,6
13,sintel,21,4101.341630500579,89.69333333333334,29.531220946722122,15.380844243084438,74.68999999999994,9
14,sintel,32,4207.4264120344205,88.88499999999993,1.218906410827989,0.6348470889729109,51.40999999999997,6
15,sintel,0,4208.024959079627,90.33999999999999,10.374102601568925,5.403178438317148,82.44999999999993,10
16,sintel,10,4285.629006413522,90.825,4.993647275728672,2.6008579561086833,51.40999999999997,6
17,sintel,18,4118.096159371386,89.53166666666662,25.751050632917025,13.412005537977617,66.92999999999995,8
18,sintel,26,4075.187535179362,89.85499999999998,37.395205876793554,19.476669727496642,74.68999999999994,9
19,sintel,11,4186.690834953888,89.69333333333327,11.6573056124721,6.0715133398292185,66.92999999999995,8
