episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward
0,0,tearsofsteel_short,1,750,4.0,527.22940984,4.690122637336221,86.63,47.46247265945425
0,1,tearsofsteel_short,1,750,4.0,319.96303501899996,5.376083083540744,86.63,63.2928427407748
0,2,tearsofsteel_short,1,750,4.0,387.006993007,3.7517979111703994,86.63,70.27726898196728
0,3,tearsofsteel_short,1,750,4.0,654.1505016719999,0.586100587452032,86.63,83.88976747395625
0,4,tearsofsteel_short,1,750,4.283529031561471,807.2173913040001,0.0,86.63,86.41567058063123
0,5,tearsofsteel_short,1,750,4.0,402.789660416,3.1645271000224646,86.63,72.8025334699034
0,6,tearsofsteel_short,1,750,4.0,467.30616996500004,2.4197740000408974,86.63,76.00497179982413
0,7,tearsofsteel_short,1,750,4.0,449.33333333300004,2.676557863506436,86.63,74.90080118692232
0,8,tearsofsteel_short,1,750,4.0,426.70017533600003,3.0306978375101092,86.63,73.37799929870653
0,9,tearsofsteel_short,1,750,4.0,606.445430346,0.9468589420953943,86.63,82.3385065489898
0,10,tearsofsteel_short,1,750,4.3370082004383494,819.0026525200001,0.0,86.63,86.41674016400876
0,11,tearsofsteel_short,1,750,4.0,356.126186202,4.086972164483077,86.63,68.83601969272277
0,12,tearsofsteel_short,1,750,4.0,535.4585725999999,1.6026743309627989,86.63,79.51850037685996
0,13,tearsofsteel_short,1,750,4.0,504.66006600699995,1.9445955843837028,86.63,78.04823898715007
0,14,tearsofsteel_short,1,750,4.232104084680382,796.2003376480001,0.0,86.63,86.4146420816936
0,15,tearsofsteel_short,1,750,4.599369033028046,825.8240574509999,0.0,86.63,86.42198738066055
0,16,tearsofsteel_short,1,750,4.3428110531329045,704.794816415,0.0,86.63,86.41685622106266
0,17,tearsofsteel_short,1,750,4.0,579.953241233,0.8300197661619402,86.63,82.84091500550366
0,18,tearsofsteel_short,1,750,4.0,539.6716016150001,1.5589361956832963,86.63,79.70657435856182
0,19,tearsofsteel_short,1,750,4.0,486.37653587,2.168060707603394,86.63,77.0873389573054
0,20,tearsofsteel_short,1,750,4.0,735.174866627,0.08066180739294371,86.63,86.06315422821034
0,21,tearsofsteel_short,1,750,4.0,666.069576218,0.5040339734990704,86.63,84.242653913954
0,22,tearsofsteel_short,1,750,4.185665300199043,786.506753106,0.0,86.63,86.41371330600397
0,23,tearsofsteel_short,1,750,4.0,694.616970658,0.13326171530152298,86.63,85.83697462420345
0,24,tearsofsteel_short,1,750,4.0,531.659947415,1.6427045418530977,86.63,79.34637047003167
0,25,tearsofsteel_short,1,750,4.0,492.534958767,2.090938209767134,86.63,77.41896569800132
0,26,tearsofsteel_short,1,750,4.0,719.274853801,0.17086734528050496,86.63,85.67527041529382
0,27,tearsofsteel_short,1,750,4.0,686.2371579449999,0.37166650809725166,86.63,84.81183401518182
0,28,tearsofsteel_short,1,750,4.283367199848759,807.1822429910001,0.0,86.63,86.41566734399697
0,29,tearsofsteel_short,1,750,4.503258727172412,793.628019324,0.0,86.63,86.42006517454344
0,30,tearsofsteel_short,1,750,4.50015635380639,749.418755803,0.0,86.63,86.42000312707613
0,31,tearsofsteel_short,1,750,5.472476539620308,990.857747224,0.0,86.63,86.4394495307924
0,32,tearsofsteel_short,1,750,6.361054703622118,964.189415042,0.0,86.63,86.45722109407244
0,33,tearsofsteel_short,1,750,5.121985497613535,572.6208,0.0,86.63,86.43243970995226
0,34,tearsofsteel_short,1,750,4.989323481904194,725.924353019,0.0,86.63,86.42978646963807
0,35,tearsofsteel_short,1,750,4.0,536.965223563,0.5976305113054279,86.63,83.84018880138666
0,36,tearsofsteel_short,1,750,4.297591175501585,810.283289125,0.0,86.63,86.41595182351003
0,37,tearsofsteel_short,1,750,4.349936780209335,759.944944415,0.0,86.63,86.41699873560418
0,38,tearsofsteel_short,1,750,4.0,363.85622119799996,3.895078215336083,86.63,69.66116367405485
0,39,tearsofsteel_short,1,750,4.0,361.492461027,4.298928258357037,86.63,67.92460848906474
0,40,tearsofsteel_short,1,750,4.0,439.670636271,2.8232894182883044,86.63,74.26985550136028
0,41,tearsofsteel_short,1,750,4.0,452.328430062,2.6323489761384096,86.63,75.09089940260483
0,42,tearsofsteel_short,1,750,4.330381110332736,817.523587653,0.0,86.63,86.41660762220666
0,43,tearsofsteel_short,1,750,4.001899845760038,693.083743842,0.0,86.63,86.4100379969152
0,44,tearsofsteel_short,1,750,4.0,554.2171846440001,1.411140534658771,86.63,80.34209570096728
0,45,tearsofsteel_short,1,750,4.0,499.064343164,2.0112489323128333,86.63,77.76162959105481
0,46,tearsofsteel_short,1,750,4.0,685.9651715040001,0.373399881837158,86.63,84.80438050810022
0,47,tearsofsteel_short,1,750,4.224677716388221,794.634146341,0.0,86.63,86.41449355432776
1,0,tearsofsteel_short,1,750,4.0,2141.38768276,0.40096070606577316,86.63,65.90586896391717
1,1,tearsofsteel_short,1,750,5.589854129552156,1244.73793756,0.0,86.63,86.44179708259104
1,2,tearsofsteel_short,1,750,8.27336497380653,2278.78823529,0.0,86.63,86.49546729947613
