episode,video,trace_idx,total_reward,avg_vmaf,total_rebuffer,rebuffer_rate,total_smooth,switches
0,tearsofsteel_short,0,4124.565358813255,88.43541666666674,10.374102601568925,5.403178438317148,74.48999999999998,10
1,tearsofsteel_short,23,4151.3641073349645,88.17750000000005,5.623672551543898,2.9289961205957797,55.91999999999999,7
2,tearsofsteel_short,17,4125.717899865331,86.88791666666674,2.66463435663594,1.3878303940812187,31.159999999999997,3
3,tearsofsteel_short,10,4209.749006413525,89.20916666666675,4.993647275728672,2.6008579561086833,49.72999999999999,6
4,tearsofsteel_short,7,4172.570540059694,88.95125000000006,3.6396964483918506,1.895675233537422,80.67999999999998,11
5,tearsofsteel_short,16,4269.072000000002,90.24083333333338,0.0,0.0,62.109999999999985,8
6,tearsofsteel_short,11,4137.32083495389,88.30645833333337,11.6573056124721,6.0715133398292185,49.72999999999999,6
7,tearsofsteel_short,5,4165.425580919921,89.4670833333334,13.707726538936654,7.1394409056961745,68.29999999999998,9
8,tearsofsteel_short,32,4144.196412034422,87.40375000000006,1.218906410827989,0.6348470889729109,43.53999999999999,5
9,tearsofsteel_short,9,4231.863727655191,89.33812500000009,0.0,0.0,55.91999999999999,7
10,tearsofsteel_short,4,4202.518150771483,89.33812500000006,6.523524201082127,3.3976688547302745,55.91999999999999,7
11,tearsofsteel_short,21,4034.971630500583,88.17750000000008,29.531220946722122,15.380844243084438,68.29999999999998,9
12,tearsofsteel_short,1,4144.501272370183,88.95125000000006,17.137662313552084,8.925865788308379,49.72999999999999,6
13,tearsofsteel_short,21,4034.971630500583,88.17750000000008,29.531220946722122,15.380844243084438,68.29999999999998,9
14,tearsofsteel_short,32,4144.196412034422,87.40375000000006,1.218906410827989,0.6348470889729109,43.53999999999999,5
15,tearsofsteel_short,0,4124.565358813255,88.43541666666674,10.374102601568925,5.403178438317148,74.48999999999998,10
16,tearsofsteel_short,10,4209.749006413525,89.20916666666675,4.993647275728672,2.6008579561086833,49.72999999999999,6
17,tearsofsteel_short,18,4057.91615937139,87.91958333333339,25.751050632917025,13.412005537977617,49.72999999999999,6
18,tearsofsteel_short,26,3985.8862472693786,87.66166666666673,35.165272832604295,18.315246266981404,68.29999999999998,9
19,tearsofsteel_short,11,4137.32083495389,88.30645833333337,11.6573056124721,6.0715133398292185,49.72999999999999,6
