Method,n,QoE_mean,QoE_ci_lo,QoE_ci_hi,VMAF_mean,Rebuf_pct,Rebuf_ci_lo,Rebuf_ci_hi,Switch_mean,Interv_rate_pct
vmaf_aware_tol0.8_bud08,80,2994.12,2665.46,3297.61,74.5,19.22,15.13,23.65,20.5,8.52
vmaf_aware_tol1.0_bud08,80,2972.18,2648.04,3272.57,74.45,19.69,15.6,24.04,21.11,8.67
shield_legacy,80,2944.26,2620.86,3240.54,74.39,21.99,17.63,26.54,21.18,12.06
thresh_cat3.0_vmafFB,80,2893.78,2566.11,3194.63,74.55,29.22,23.88,34.55,21.01,6.72
thresh_cat4.0_vmafFB,80,2831.05,2508.11,3130.29,74.66,36.53,30.72,42.7,21.2,5.52
shield_off,80,2537.01,2190.07,2865.92,75.59,69.94,58.52,81.21,23.55,0.0
