arm,episode,rebuffer_total,rebuffer_p95_chunk,rebuffer_p99_chunk,stallfree,vmaf_mean,bitrate_mean_kbps,buffer_mean,interv_rate,conformal_coverage
raw,0,93.4505297590217,6.907755662283941,39.958017809219115,0.0,97.71,6000.0,9.60304374456753,0.0,nan
raw,1,71.58924010544372,12.338253944765459,20.558147282002402,0.0,98.77999999999999,6000.0,8.211470216381919,0.0,nan
raw,2,98.3095450948446,4.636876786106715,43.18834233594948,0.0,91.63,6000.0,9.0863197156678,0.0,nan
raw,3,68.79643778717347,14.258788466675185,16.338314518118217,0.0,96.13,6000.0,8.816395447071066,0.0,nan
raw,4,66.15284053823959,7.508244765390309,24.768786656205208,0.0,94.76,6000.0,8.856185424282346,0.0,nan
raw,5,88.74741877481166,13.55163419305279,27.910706941051235,0.0,97.39,6000.0,8.20661061591155,0.0,nan
raw,6,30.528478083800064,3.5049372446295584,11.771103897827594,0.0,63.40999999999999,6000.0,9.404131257102422,0.0,nan
raw,7,103.52727424599496,13.609249380574711,37.001516221647066,0.0,97.14,6000.0,8.520079408911478,0.0,nan
raw,8,88.873612992928,16.12153524021089,26.3205204952242,0.0,45.18,6000.0,8.291510571622704,0.0,nan
raw,9,113.00166412141952,7.682448989312059,47.51956792600508,0.0,94.76,6000.0,8.928693576760345,0.0,nan
raw,10,112.26929964713963,8.370067874921617,46.39621567978945,0.0,94.76,6000.0,9.179932036463514,0.0,nan
raw,11,87.9145572369978,12.560989524371232,28.53758862375968,0.0,96.13,6000.0,8.83390621422255,0.0,nan
raw,12,42.84004190758493,8.192063237994617,12.70687576100996,0.0,94.76,6000.0,8.824251387124484,0.0,nan
raw,13,86.18449395594618,12.728232557613971,22.090304260587235,0.0,98.49,6000.0,8.428800679052799,0.0,nan
raw,14,90.0876934433952,4.280023704881092,40.67756976683425,0.0,91.63,6000.0,9.17048624719966,0.0,nan
raw,15,60.40441127648917,11.633641976650885,19.885022191801294,0.0,63.40999999999999,6000.0,9.088500296116365,0.0,nan
raw,16,129.4629140105016,28.992471935592004,36.090874855250895,0.0,91.63,6000.0,9.480471453204245,0.0,nan
raw,17,67.66861204341816,10.606876235314214,22.527845097589733,0.0,95.44,6000.0,9.037298363753209,0.0,nan
raw,18,100.04989490305657,12.00223970432721,37.060158028970676,0.0,98.77999999999999,6000.0,8.088639205583418,0.0,nan
raw,19,66.44878289589529,5.949321808039555,25.803608577089136,0.0,45.18,6000.0,8.854587131757684,0.0,nan
raw,20,114.91928118998106,5.588116341107513,50.292412726411854,0.0,98.77999999999999,6000.0,7.799951000056152,0.0,nan
raw,21,79.35922734267567,13.859895972616336,20.210015276327155,0.0,97.71,6000.0,8.77159667254942,0.0,nan
raw,22,82.39672876172509,8.321879267389697,33.204741571043655,0.0,98.77999999999999,6000.0,8.69836376140962,0.0,nan
raw,23,65.0552132031539,4.215936110589316,26.66875694774257,0.0,96.13,6000.0,9.001724907998508,0.0,nan
raw,24,31.38473841824182,3.804628361684175,11.771103897827594,0.0,63.40999999999999,6000.0,9.404131257102422,0.0,nan
raw,25,96.62658858169539,10.79718749688077,40.15615108339505,0.0,94.76,6000.0,9.235030664477817,0.0,nan
raw,26,90.55990940466906,17.866314187754163,22.821099489264,0.0,91.63,6000.0,8.893199618046424,0.0,nan
raw,27,76.4834692347573,9.838573545527208,27.630587326100155,0.0,91.63,6000.0,9.166651325834726,0.0,nan
raw,28,85.31057709507832,15.90472516828962,26.164949797093502,0.0,63.40999999999999,6000.0,9.130166029604915,0.0,nan
raw,29,76.06295486627249,10.035929541549288,25.885705172691853,0.0,63.40999999999999,6000.0,9.161957090540687,0.0,nan
raw,30,130.03136369100253,21.530150150820184,45.002369245565056,0.0,45.18,6000.0,8.448145339781858,0.0,nan
raw,31,77.05601815129566,8.959692124337103,29.343973799229804,0.0,98.77999999999999,6000.0,8.332435633183168,0.0,nan
raw,32,92.75185207091806,7.951501593343307,40.08700319621714,0.0,97.39,6000.0,8.664377294635278,0.0,nan
raw,33,101.3177351052317,18.363061645416977,29.373513532476373,0.0,91.63,6000.0,9.023568122085535,0.0,nan
raw,34,53.58526384514727,9.716089689613817,17.272354905286793,0.0,91.63,6000.0,9.123132149456758,0.0,nan
raw,35,57.686955112686945,6.176882345493755,23.659807233536384,0.0,97.71,6000.0,9.383099340285078,0.0,nan
