episode,chunk,video,action,bitrate,buffer,throughput,rebuffer,vmaf,reward,risk_factor,grad_factor
0,0,crowd_run,1,750,4.0,527.22940984,4.690122637336221,15.45,-54.71316419390744,2.1,1.44925
0,1,crowd_run,1,750,4.0,319.96303501899996,5.376083083540744,15.45,-58.39767546336243,2.1,1.44925
0,2,crowd_run,1,750,4.0,387.006993007,3.7517979111703994,15.45,-36.15242001011697,2.1,1.44925
0,3,crowd_run,1,750,4.0,654.1505016719999,0.586100587452032,15.45,7.203110688352099,2.1,1.44925
0,4,crowd_run,1,750,4.283529031561471,807.2173913040001,0.0,15.45,15.23567058063123,2.071647096843853,1.44925
0,5,crowd_run,1,750,4.0,402.789660416,3.1645271000224646,15.45,-28.10950400223641,2.1,1.44925
0,6,crowd_run,1,750,4.0,467.30616996500004,2.4197740000408974,15.45,-17.909803087335103,2.1,1.44925
0,7,crowd_run,1,750,4.0,449.33333333300004,2.676557863506436,15.45,-21.426564020839333,2.1,1.44925
0,8,crowd_run,1,750,4.0,426.70017533600003,3.0306978375101092,15.45,-26.276657047558917,2.1,1.44925
0,9,crowd_run,1,750,4.0,606.445430346,0.9468589420953943,15.45,2.2623762086899597,2.1,1.44925
0,10,crowd_run,1,750,4.3370082004383494,819.0026525200001,0.0,15.45,15.236740164008767,2.0662991799561654,1.44925
0,11,crowd_run,1,750,4.0,356.126186202,4.086972164483077,15.45,-40.74276966861359,2.1,1.44925
0,12,crowd_run,1,750,4.0,535.4585725999999,1.6026743309627989,15.45,-6.719286065697053,2.1,1.44925
0,13,crowd_run,1,750,4.0,504.66006600699995,1.9445955843837028,15.45,-11.40203867381337,2.1,1.44925
0,14,crowd_run,1,750,4.232104084680382,796.2003376480001,0.0,15.45,15.234642081693607,2.076789591531962,1.44925
0,15,crowd_run,1,750,4.599369033028046,825.8240574509999,0.0,15.45,15.24198738066056,2.040063096697195,1.44925
0,16,crowd_run,1,750,4.3428110531329045,704.794816415,0.0,15.45,15.236856221062657,2.0657188946867096,1.44925
0,17,crowd_run,1,750,4.0,579.953241233,0.8300197661619402,15.45,3.862536919258686,2.1,1.44925
0,18,crowd_run,1,750,4.0,539.6716016150001,1.5589361956832963,15.45,-6.120274261063462,2.1,1.44925
