step,mean_action,action_distribution,action_variance,action_entropy
40000,2.88,0.000;0.125;0.375;0.125;0.250;0.125,1.61,1.494
80000,3.62,0.000;0.125;0.125;0.000;0.500;0.250,1.73,1.213
120000,2.50,0.000;0.375;0.250;0.000;0.250;0.125,2.25,1.321
160000,2.88,0.000;0.250;0.250;0.125;0.125;0.250,2.36,1.560
200000,1.50,0.125;0.500;0.250;0.000;0.125;0.000,1.25,1.213
240000,2.62,0.000;0.250;0.125;0.375;0.250;0.000,1.23,1.321
280000,1.75,0.000;0.500;0.250;0.250;0.000;0.000,0.69,1.040
320000,2.38,0.000;0.125;0.500;0.250;0.125;0.000,0.73,1.213
360000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
400000,2.38,0.000;0.375;0.125;0.250;0.250;0.000,1.48,1.321
440000,2.12,0.000;0.250;0.375;0.375;0.000;0.000,0.61,1.082
480000,1.88,0.000;0.625;0.000;0.250;0.125;0.000,1.36,0.900
520000,2.00,0.000;0.375;0.250;0.375;0.000;0.000,0.75,1.082
560000,2.25,0.000;0.375;0.250;0.125;0.250;0.000,1.44,1.321
600000,1.88,0.000;0.625;0.125;0.000;0.250;0.000,1.61,0.900
640000,2.62,0.000;0.125;0.375;0.250;0.250;0.000,0.98,1.321
680000,2.38,0.000;0.375;0.125;0.250;0.250;0.000,1.48,1.321
720000,3.38,0.000;0.000;0.250;0.250;0.375;0.125,0.98,1.321
760000,1.75,0.000;0.750;0.000;0.000;0.250;0.000,1.69,0.562
800000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
840000,1.62,0.000;0.750;0.125;0.000;0.000;0.125,1.73,0.736
880000,2.62,0.000;0.250;0.125;0.500;0.000;0.125,1.48,1.213
920000,1.75,0.000;0.500;0.250;0.250;0.000;0.000,0.69,1.040
960000,1.75,0.000;0.250;0.750;0.000;0.000;0.000,0.19,0.562
1000000,2.00,0.000;0.375;0.250;0.375;0.000;0.000,0.75,1.082
1040000,2.12,0.125;0.375;0.000;0.250;0.250;0.000,2.11,1.321
1080000,1.75,0.125;0.250;0.375;0.250;0.000;0.000,0.94,1.321
1120000,3.12,0.000;0.250;0.125;0.125;0.250;0.250,2.36,1.560
1160000,1.62,0.250;0.375;0.125;0.125;0.000;0.125,2.48,1.494
1200000,2.12,0.125;0.250;0.125;0.375;0.125;0.000,1.61,1.494
1240000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
1280000,2.12,0.125;0.375;0.000;0.250;0.250;0.000,2.11,1.321
1320000,1.50,0.250;0.375;0.000;0.375;0.000;0.000,1.50,1.082
1360000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
1400000,1.62,0.250;0.375;0.000;0.250;0.125;0.000,1.98,1.321
1440000,1.62,0.375;0.125;0.125;0.250;0.125;0.000,2.23,1.494
1480000,2.62,0.000;0.250;0.250;0.250;0.125;0.125,1.73,1.560
1520000,2.00,0.250;0.250;0.125;0.000;0.375;0.000,2.75,1.321
1560000,0.75,0.625;0.125;0.125;0.125;0.000;0.000,1.19,1.074
1600000,2.50,0.125;0.000;0.375;0.250;0.250;0.000,1.50,1.321
1640000,1.38,0.375;0.125;0.375;0.000;0.125;0.000,1.73,1.255
1680000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
1720000,1.62,0.250;0.375;0.000;0.250;0.125;0.000,1.98,1.321
1760000,1.62,0.250;0.250;0.250;0.125;0.125;0.000,1.73,1.560
1800000,1.38,0.250;0.375;0.250;0.000;0.125;0.000,1.48,1.321
1840000,2.75,0.125;0.125;0.250;0.000;0.375;0.125,2.69,1.494
1880000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
1920000,1.62,0.000;0.625;0.125;0.250;0.000;0.000,0.73,0.900
1960000,1.50,0.125;0.500;0.250;0.000;0.125;0.000,1.25,1.213
2000000,2.88,0.125;0.000;0.000;0.625;0.250;0.000,1.36,0.900
2040000,2.12,0.000;0.500;0.125;0.125;0.250;0.000,1.61,1.213
2080000,1.50,0.125;0.375;0.375;0.125;0.000;0.000,0.75,1.255
2120000,1.25,0.250;0.375;0.250;0.125;0.000;0.000,0.94,1.321
2160000,1.50,0.250;0.375;0.125;0.125;0.125;0.000,1.75,1.494
2200000,2.25,0.125;0.125;0.500;0.000;0.125;0.125,2.19,1.386
2240000,2.38,0.125;0.125;0.250;0.250;0.250;0.000,1.73,1.560
2280000,2.25,0.125;0.125;0.250;0.375;0.125;0.000,1.44,1.494
2320000,2.38,0.125;0.125;0.250;0.250;0.250;0.000,1.73,1.560
2360000,2.62,0.125;0.125;0.125;0.250;0.375;0.000,1.98,1.494
2400000,1.62,0.250;0.375;0.125;0.000;0.250;0.000,2.23,1.321
2440000,1.75,0.250;0.000;0.500;0.250;0.000;0.000,1.19,1.040
2480000,1.75,0.250;0.125;0.375;0.125;0.125;0.000,1.69,1.494
2520000,2.25,0.000;0.375;0.250;0.250;0.000;0.125,1.69,1.321
2560000,2.25,0.000;0.375;0.125;0.375;0.125;0.000,1.19,1.255
2600000,2.25,0.125;0.250;0.125;0.375;0.000;0.125,2.19,1.494
2640000,1.75,0.125;0.375;0.250;0.125;0.125;0.000,1.44,1.494
2680000,1.88,0.250;0.250;0.000;0.375;0.125;0.000,2.11,1.321
2720000,2.12,0.125;0.250;0.375;0.000;0.125;0.125,2.36,1.494
2760000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
2800000,2.50,0.250;0.000;0.125;0.250;0.375;0.000,2.50,1.321
2840000,2.62,0.125;0.125;0.250;0.250;0.000;0.250,2.73,1.560
2880000,1.88,0.125;0.250;0.375;0.125;0.125;0.000,1.36,1.494
2920000,1.38,0.375;0.000;0.500;0.125;0.000;0.000,1.23,0.974
2960000,2.75,0.125;0.000;0.250;0.250;0.375;0.000,1.69,1.321
3000000,1.12,0.250;0.375;0.375;0.000;0.000;0.000,0.61,1.082
3040000,2.00,0.125;0.250;0.125;0.500;0.000;0.000,1.25,1.213
3080000,1.88,0.125;0.125;0.500;0.250;0.000;0.000,0.86,1.213
3120000,1.62,0.125;0.375;0.250;0.250;0.000;0.000,0.98,1.321
3160000,1.25,0.250;0.500;0.125;0.000;0.125;0.000,1.44,1.213
3200000,2.25,0.250;0.125;0.250;0.000;0.250;0.125,3.19,1.560
